arm,scenario,model_key,seed,parameter_count,parameter_bytes,train_steps,declared_train_steps,train_steps_match_declared,num_updates,num_rounds_logged,cloud_bytes,edge_local_bytes,total_bytes,cloud_megabytes,edge_local_megabytes,total_megabytes,num_transfers,eval_action_histogram_entropy,mean_action_histogram_entropy,mean_background_fairness,mean_collision_rate,mean_episode_return,mean_eval_return,mean_mean_dt,mean_num_background_users_mean,mean_policy_entropy_nats,mean_sim_time,mean_spectrum_utilization,mean_steps,mean_success_rate,num_eval_episodes,std_action_histogram_entropy,std_background_fairness,std_collision_rate,std_episode_return,std_mean_dt,std_num_background_users_mean,std_policy_entropy_nats,std_sim_time,std_spectrum_utilization,std_steps,std_success_rate,max_first_epoch_ratio_deviation,final_round_mean_policy_loss,final_round_mean_value_loss,final_round_mean_entropy,final_round_mean_rollout_return,config_clients_per_edge,config_cloud_rounds,config_device,config_edge_rounds_per_cloud_round,config_eval_episodes,config_flat_rounds,config_horizon,config_local_num_envs,config_local_phases_per_client,config_local_steps,config_model_key,config_num_clients,config_num_edges,config_scenario,config_total_env_steps_per_arm,wall_seconds
centralized,non_stationary,ppo_ltc_cfc,7,39825,159300,36864,36864,True,48,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9133873013773065,0.68359375,-61.309538850444156,-61.309538850444156,1.0,4.0,1.8630417387466878,64.0,0.11546894305133339,64.0,0.31640625,32.0,0.0,0.06106830918919872,0.13683031162607026,24.357685060270203,0.0,0.0,8.963597898806464e-05,0.0,0.05875439273113543,0.0,0.13683031162607026,5.960464477539062e-07,-0.004319629321495692,55.983803590138756,1.894285519917806,-62.72614669799805,4.0,3.0,cpu,2.0,32.0,6.0,64.0,12.0,6.0,768.0,ppo_ltc_cfc,8.0,2.0,non_stationary,36864.0,231.77158921000228
centralized,non_stationary,ppo_ltc_cfc,19,39825,159300,36864,36864,True,48,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9180445077188724,0.6953125,-61.52630969354483,-61.52630969354483,1.0,4.0,1.8253054657252505,64.0,0.11946061643465206,64.0,0.3046875,32.0,0.0,0.054195990314035394,0.13975424859373686,24.58183659860474,0.0,0.0,0.0003408432750800415,0.0,0.05977897254387097,0.0,0.13975424859373686,7.152557373046875e-07,-0.008915748990451297,63.52624956766764,1.8550521185000737,-62.51224899291992,4.0,3.0,cpu,2.0,32.0,6.0,64.0,12.0,6.0,768.0,ppo_ltc_cfc,8.0,2.0,non_stationary,36864.0,236.8728096550003
centralized,non_stationary,ppo_ltc_cfc,23,39825,159300,36864,36864,True,48,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9045577499471487,0.71337890625,-64.84934079225492,-64.84934079225492,1.0,4.0,1.579900887387339,64.0,0.11584619872770244,64.0,0.28662109375,32.0,0.0,0.0818626000223445,0.13613768121449682,24.90383848337763,0.0,0.0,0.0003680107696535383,0.0,0.059600198250316386,0.0,0.13613768121449682,7.152557373046875e-07,-0.009728585408690075,57.61898477872213,1.5891163150469463,-59.77913284301758,4.0,3.0,cpu,2.0,32.0,6.0,64.0,12.0,6.0,768.0,ppo_ltc_cfc,8.0,2.0,non_stationary,36864.0,229.80098011399969
centralized,non_stationary,ppo_ltc_cfc,41,39825,159300,36864,36864,True,48,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8968161698054503,0.6650390625,-57.43675649589811,-57.43675649589811,1.0,4.0,1.8759349444299005,64.0,0.1280538287005662,64.0,0.3349609375,32.0,0.0,0.06274950336101581,0.14781621109737456,26.145550701585037,0.0,0.0,0.00015932271298612196,0.0,0.06216579411825268,0.0,0.14781621109737456,5.960464477539062e-07,-0.007151292054913938,54.88450940450033,1.9052056620518367,-62.43238830566406,4.0,3.0,cpu,2.0,32.0,6.0,64.0,12.0,6.0,768.0,ppo_ltc_cfc,8.0,2.0,non_stationary,36864.0,227.88441887299996
centralized,non_stationary,ppo_ltc_cfc,89,39825,159300,36864,36864,True,48,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8858745336162493,0.66748046875,-58.41698956922882,-58.41698956922882,1.0,4.0,1.7147091436199844,64.0,0.1269693092307438,64.0,0.33251953125,32.0,0.0,0.07314391914249979,0.15145143194973107,26.645410843474973,0.0,0.0,0.00028906307873322024,0.0,0.06661309283365217,0.0,0.15145143194973107,7.152557373046875e-07,-0.0013631749898195267,77.16244268417358,1.7342388927936554,-67.91278076171875,4.0,3.0,cpu,2.0,32.0,6.0,64.0,12.0,6.0,768.0,ppo_ltc_cfc,8.0,2.0,non_stationary,36864.0,206.35389133599892
centralized,non_stationary,ppo_ltc_cfc,101,39825,159300,36864,36864,True,48,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9162326281907726,0.71728515625,-66.21912148984526,-66.21912148984526,1.0,4.0,1.8454357180162333,64.0,0.1048733177362397,64.0,0.28271484375,32.0,0.0,0.0686179224448346,0.11126707310344258,18.35061798663596,0.0,0.0,0.00013265067285530655,0.0,0.04480347987241816,0.0,0.11126707310344258,8.344650268554688e-07,-0.004208677758773168,64.26204339663188,1.867724448442459,-65.7315444946289,4.0,3.0,cpu,2.0,32.0,6.0,64.0,12.0,6.0,768.0,ppo_ltc_cfc,8.0,2.0,non_stationary,36864.0,206.76354389599874
centralized,non_stationary,ppo_ltc_cfc,137,39825,159300,36864,36864,True,48,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8894459104724122,0.70068359375,-63.42651457402519,-63.42651457402519,1.0,4.0,1.382392019033432,64.0,0.11568950761652988,64.0,0.29931640625,32.0,0.0,0.08830940482533488,0.16901515332967548,30.723707732428306,0.0,0.0,0.0003168064313261619,0.0,0.07266043702196409,0.0,0.16901515332967548,7.152557373046875e-07,-0.001967179666583737,86.0012485186259,1.334225634733836,-68.7529296875,4.0,3.0,cpu,2.0,32.0,6.0,64.0,12.0,6.0,768.0,ppo_ltc_cfc,8.0,2.0,non_stationary,36864.0,209.95670511400021
centralized,non_stationary,ppo_ltc_cfc,211,39825,159300,36864,36864,True,48,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.886247258077618,0.66259765625,-56.33782118102668,-56.33782118102668,1.0,4.0,1.709361019602511,64.0,0.13066354494017782,64.0,0.33740234375,32.0,0.0,0.08128333688249195,0.14420673952688753,26.2285123207454,0.0,0.0,8.086381076946157e-05,0.0,0.06381545653911556,0.0,0.14420673952688753,7.152557373046875e-07,-0.008274450160873434,51.767130613327026,1.7118403613567352,-59.09883499145508,4.0,3.0,cpu,2.0,32.0,6.0,64.0,12.0,6.0,768.0,ppo_ltc_cfc,8.0,2.0,non_stationary,36864.0,205.73842039100055
centralized,non_stationary,ppo_ltc_cfc,307,39825,159300,36864,36864,True,48,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9004583204153951,0.71484375,-65.8498048365976,-65.8498048365976,1.0,4.0,1.757814283191692,64.0,0.10674254674337053,64.0,0.28515625,32.0,0.0,0.06067238458240884,0.125,21.37828863532976,0.0,0.0,0.00030289537979189506,0.0,0.05257370484164511,0.0,0.125,7.152557373046875e-07,-0.004263592457088332,78.649827003479,1.7357369860013325,-67.8546142578125,4.0,3.0,cpu,2.0,32.0,6.0,64.0,12.0,6.0,768.0,ppo_ltc_cfc,8.0,2.0,non_stationary,36864.0,206.49151790199903
centralized,non_stationary,ppo_ltc_cfc,401,39825,159300,36864,36864,True,48,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8860596546869888,0.69189453125,-61.95478748312438,-61.95478748312438,1.0,4.0,1.8815643569687381,64.0,0.12016362715851864,64.0,0.30810546875,32.0,0.0,0.07941595529041723,0.1436435139196564,25.438428072040317,0.0,0.0,0.00017195567174891816,0.0,0.06354031068333753,0.0,0.1436435139196564,7.152557373046875e-07,-0.00658234057482332,57.05426534016927,1.896124283472697,-59.1899528503418,4.0,3.0,cpu,2.0,32.0,6.0,64.0,12.0,6.0,768.0,ppo_ltc_cfc,8.0,2.0,non_stationary,36864.0,208.62600047500018
