scenario,model,seed,eval_episodes,policy_type,is_trainable,family,dt_aware,cell_kinds,hidden_dim,num_heads,parameter_count,param_error_frac,train_steps,declared_train_steps,num_updates,total_gradient_steps,max_first_epoch_ratio_deviation,final_policy_loss,final_value_loss,final_approx_kl,final_clip_fraction,final_explained_variance,mean_eval_return_untrained,mean_eval_return_trained,wall_train_seconds,wall_eval_seconds,eval_action_histogram_entropy,mean_action_histogram_entropy,mean_background_fairness,mean_collision_rate,mean_episode_return,mean_eval_return,mean_mean_dt,mean_num_background_users_mean,mean_policy_entropy_nats,mean_sim_time,mean_spectrum_utilization,mean_steps,mean_success_rate,num_eval_episodes,std_action_histogram_entropy,std_background_fairness,std_collision_rate,std_episode_return,std_mean_dt,std_num_background_users_mean,std_policy_entropy_nats,std_sim_time,std_spectrum_utilization,std_steps,std_success_rate,untrained_eval_action_histogram_entropy,untrained_mean_action_histogram_entropy,untrained_mean_background_fairness,untrained_mean_collision_rate,untrained_mean_episode_return,untrained_mean_eval_return,untrained_mean_mean_dt,untrained_mean_num_background_users_mean,untrained_mean_policy_entropy_nats,untrained_mean_sim_time,untrained_mean_spectrum_utilization,untrained_mean_steps,untrained_mean_success_rate,untrained_num_eval_episodes,untrained_std_action_histogram_entropy,untrained_std_background_fairness,untrained_std_collision_rate,untrained_std_episode_return,untrained_std_mean_dt,untrained_std_num_background_users_mean,untrained_std_policy_entropy_nats,untrained_std_sim_time,untrained_std_spectrum_utilization,untrained_std_steps,untrained_std_success_rate,wall_seconds
bursty_irregular,constant_channel,7,32,heuristic,False,heuristic,False,,0,0,0,,0,0,0,0,,,,,,,-73.10229674756664,-73.10229674756664,0.0,0.5796788580009888,0.0,0.0,0.7393663316469798,0.7451171875,-73.10229674756664,-73.10229674756664,1.3717041015625,5.05859375,0.0,87.7890625,0.102893678499892,64.0,0.2548828125,32.0,0.0,0.10014749636536147,0.09924008598105578,18.765860440717983,0.12378525578528153,1.240263594636111,0.0,7.922256370258018,0.04530873249951762,0.0,0.09924008598105578,,,,,,,,,,,,,,,,,,,,,,,,,,0.5797321919999376
bursty_irregular,constant_channel,19,32,heuristic,False,heuristic,False,,0,0,0,,0,0,0,0,,,,,,,-70.04532212002698,-70.04532212002698,0.0,0.5943272490003437,0.0,0.0,0.7789493725791827,0.728515625,-70.04532212002698,-70.04532212002698,1.3486328125,4.9345703125,0.0,86.3125,0.10710911028261683,64.0,0.271484375,32.0,0.0,0.08158448917916153,0.09825985334457239,18.202932154869455,0.09982456076602043,1.3053857453928714,0.0,6.388771889025308,0.042212902593904665,0.0,0.09825985334457239,,,,,,,,,,,,,,,,,,,,,,,,,,0.5943833800010907
bursty_irregular,constant_channel,23,32,heuristic,False,heuristic,False,,0,0,0,,0,0,0,0,,,,,,,-74.96082210409612,-74.96082210409612,0.0,0.5884070020001673,0.0,0.0,0.7661892095395932,0.75830078125,-74.96082210409612,-74.96082210409612,1.3607177734375,4.9677734375,0.0,87.0859375,0.09712804637932151,64.0,0.24169921875,32.0,0.0,0.09243094636853161,0.11253691173697587,20.347076374571476,0.14168104374617413,1.2374241507048254,0.0,9.067586799755144,0.04485613984099724,0.0,0.11253691173697587,,,,,,,,,,,,,,,,,,,,,,,,,,0.5885082009990583
bursty_irregular,constant_channel,41,32,heuristic,False,heuristic,False,,0,0,0,,0,0,0,0,,,,,,,-72.59962271205636,-72.59962271205636,0.0,0.6045337420000578,0.0,0.0,0.7638961949402593,0.74462890625,-72.59962271205636,-72.59962271205636,1.3409423828125,5.23291015625,0.0,85.8203125,0.10317881288949907,64.0,0.25537109375,32.0,0.0,0.10434927844704282,0.13416188217698968,24.258944980781678,0.14374467383759204,1.2684812928332623,0.0,9.19965912560589,0.059263340086177736,0.0,0.13416188217698968,,,,,,,,,,,,,,,,,,,,,,,,,,0.6045932019987958
bursty_irregular,constant_channel,89,32,heuristic,False,heuristic,False,,0,0,0,,0,0,0,0,,,,,,,-68.52752383134049,-68.52752383134049,0.0,0.673770556000818,0.0,0.0,0.7189699151449829,0.7197265625,-68.52752383134049,-68.52752383134049,1.3563232421875,4.69970703125,0.0,86.8046875,0.11544793660630964,64.0,0.2802734375,32.0,0.0,0.0817546586273287,0.14410502503294634,27.087483975287594,0.1300616073431117,1.3046567079485287,0.0,8.323942869959149,0.06608646599820689,0.0,0.14410502503294634,,,,,,,,,,,,,,,,,,,,,,,,,,0.6738263539991749
bursty_irregular,constant_channel,101,32,heuristic,False,heuristic,False,,0,0,0,,0,0,0,0,,,,,,,-70.84678397859064,-70.84678397859064,0.0,0.5880060279996542,0.0,0.0,0.7466452215088809,0.73779296875,-70.84678397859064,-70.84678397859064,1.375,4.87255859375,0.0,88.0,0.11020450293065674,64.0,0.26220703125,32.0,0.0,0.11379750860608769,0.11333069873066288,20.418557848847268,0.1547474138231749,1.1564618509402087,0.0,9.903834484683193,0.052723252779050836,0.0,0.11333069873066288,,,,,,,,,,,,,,,,,,,,,,,,,,0.5880627410006127
bursty_irregular,constant_channel,137,32,heuristic,False,heuristic,False,,0,0,0,,0,0,0,0,,,,,,,-70.912274861293,-70.912274861293,0.0,0.5853946460010775,0.0,0.0,0.7506515206948924,0.736328125,-70.912274861293,-70.912274861293,1.381591796875,4.65625,0.0,88.421875,0.10508397137843156,64.0,0.263671875,32.0,0.0,0.1212859150624377,0.09534371287077284,16.361608668051694,0.1271949226031804,1.2462590505564042,0.0,8.140475046603546,0.039805373720803706,0.0,0.09534371287077284,,,,,,,,,,,,,,,,,,,,,,,,,,0.5854491950012743
bursty_irregular,constant_channel,211,32,heuristic,False,heuristic,False,,0,0,0,,0,0,0,0,,,,,,,-71.06822822318624,-71.06822822318624,0.0,0.5630300490010995,0.0,0.0,0.7475236905184414,0.72802734375,-71.06822822318624,-71.06822822318624,1.324462890625,5.234375,0.0,84.765625,0.10779748871422881,64.0,0.27197265625,32.0,0.0,0.11639277920633599,0.14832743529405842,27.632910926487586,0.16157000791713635,1.3326668663107446,0.0,10.340480506696727,0.06293458937165614,0.0,0.14832743529405842,,,,,,,,,,,,,,,,,,,,,,,,,,0.5630918979986745
bursty_irregular,constant_channel,307,32,heuristic,False,heuristic,False,,0,0,0,,0,0,0,0,,,,,,,-79.11785235258921,-79.11785235258921,0.0,0.5776045169986901,0.0,0.0,0.7819213092139516,0.78125,-79.11785235258921,-79.11785235258921,1.3717041015625,5.2509765625,0.0,87.7890625,0.08959126126972611,64.0,0.21875,32.0,0.0,0.09186001991939018,0.10178761109996393,19.09758511639877,0.15998975892372644,1.365193509648585,0.0,10.239344571118492,0.04189008652094534,0.0,0.10178761109996393,,,,,,,,,,,,,,,,,,,,,,,,,,0.5776773769975989
bursty_irregular,constant_channel,401,32,heuristic,False,heuristic,False,,0,0,0,,0,0,0,0,,,,,,,-64.79809047018226,-64.79809047018226,0.0,0.6106144270015648,0.0,0.0,0.750060048467608,0.703125,-64.79809047018226,-64.79809047018226,1.394775390625,4.732421875,0.0,89.265625,0.1178429363494222,64.0,0.296875,32.0,0.0,0.11019240184112336,0.11790147088114508,21.266338292196814,0.13867166008731147,1.354172144169611,0.0,8.874986245587934,0.05298373185993819,0.0,0.11790147088114508,,,,,,,,,,,,,,,,,,,,,,,,,,0.6106821220018901
