model,mean_background_fairness,std_background_fairness,mean_collision_rate,std_collision_rate,mean_episode_length,std_episode_length,mean_episode_reward,std_episode_reward,mean_mean_forward_time,std_mean_forward_time,mean_policy_entropy,std_policy_entropy,mean_spectrum_utilization,std_spectrum_utilization,mean_steps,std_steps,mean_success_rate,std_success_rate,mean_wall_clock_proxy_time,std_wall_clock_proxy_time,seed,scenario,parameter_count,train_steps,wall_clock_training_time,mean_wall_clock_episode_seconds,std_wall_clock_episode_seconds
greedy_heuristic,0.9983359575271606,0.0,0.859375,0.0,64.0,0.0,-83.27410124745221,0.0,1.0243070391879883e-05,6.66376763547305e-07,2.0069186687469482,0.0,0.07462307438254356,0.0,64.0,0.0,0.140625,0.0,64.0,0.0,7,stationary,0,0,,,
ppo_gru,0.9986019730567932,0.0,0.71875,0.0,64.0,0.0,-62.09037043098363,0.0,0.0010243882570648566,1.0510029824217781e-06,0.0,0.0,0.10098740248940885,0.0,64.0,0.0,0.28125,0.0,64.0,0.0,7,stationary,36425,256,1.1257486690301448,0.08544310351135209,5.822454113513231e-06
ppo_lfm,0.998897910118103,0.0,0.7734375,0.0078125,64.0,0.0,-69.90320631749927,1.208534232527029,0.0019284017107565887,3.747070877579972e-06,0.16413488239049911,0.02507408708333969,0.08933278173208237,0.0027704446110874414,64.0,0.0,0.2265625,0.0078125,64.0,0.0,7,stationary,78409,256,1.6912876949645579,0.14474477793555707,0.00020616897381842136
ppo_lstm,0.9995813965797424,0.0,0.65625,0.0,64.0,0.0,-54.94893039725722,0.0,0.0009885565614240477,2.564545866334811e-05,0.23379166424274445,0.0,0.12067250651307404,0.0,64.0,0.0,0.34375,0.0,64.0,0.0,7,stationary,44745,256,1.0507980319671333,0.08334825350902975,0.0019969925051555037
ppo_ltc,0.9945797324180603,0.0,0.71875,0.0,64.0,0.0,-59.579068988934175,0.0,0.0025148953000098118,0.0001421269980710349,0.08048482984304428,0.0,0.11705981637351215,0.0,64.0,0.0,0.28125,0.0,64.0,0.0,7,stationary,44809,256,2.032087811967358,0.18670084502082318,0.01208031503483653
ppo_ltc_lfm,0.9958341717720032,0.0,0.75,0.0,64.0,0.0,-65.09338786713782,0.0,0.0029927836958449916,0.00010005161584558664,0.27416592836380005,0.0,0.095991789130494,0.0,64.0,0.0,0.25,0.0,64.0,0.0,7,stationary,78281,256,2.5963600139366463,0.21436040749540552,0.008258786459919065
ppo_mlp,0.9994688630104065,0.0,0.625,0.0,64.0,0.0,-43.243379581347135,0.0,0.0006943036596567254,1.843015525082592e-06,0.5363593101501465,0.0,0.14622198650613427,0.0,64.0,0.0,0.375,0.0,64.0,0.0,7,stationary,56585,256,6.6800317340530455,0.06475276296259835,0.00010468700202181935
random_policy,0.9959932565689087,0.001280665397644043,0.6796875,0.0546875,64.0,0.0,-54.18187102563681,9.126086154207588,8.883001100912225e-06,1.2558148227981292e-06,2.0273619890213013,0.01528465747833252,0.12774368445388973,0.028554922435432673,64.0,0.0,0.3203125,0.0546875,64.0,0.0,7,stationary,0,0,,,
greedy_heuristic,0.9917057752609253,0.0,0.875,0.0,64.0,0.0,-87.47190918149427,0.0,1.0145102351089008e-05,5.317633622325957e-08,1.9934501647949219,0.0,0.06590069970116019,0.0,64.0,0.0,0.125,0.0,105.23716074330466,0.0,7,variable_dt,0,0,,,
ppo_gru,0.9990502595901489,0.0,0.828125,0.0,64.0,0.0,-79.81144351735715,0.0,0.0009919161175275804,3.081367140111979e-06,0.0,0.0,0.06484941858798265,0.0,64.0,0.0,0.171875,0.0,105.23716074330466,0.0,7,variable_dt,36425,256,0.9914259070064873,0.08331255801022053,0.000373351969756186
ppo_lfm,0.9993165731430054,0.0,0.828125,0.0,64.0,0.0,-78.93689155429603,0.0,0.0022433538260884234,0.0002707165322135552,0.08048482984304428,0.0,0.06680323788896203,0.0,64.0,0.0,0.171875,0.0,105.23716074330466,0.0,7,variable_dt,78409,256,1.971299958997406,0.1703469769563526,0.020390860037878156
ppo_lstm,0.9999426007270813,0.0,0.6875,0.0,64.0,0.0,-58.656205107644226,0.0,0.0009903471336656366,1.5033364434202667e-05,0.0,0.0,0.12279494176618755,0.0,64.0,0.0,0.3125,0.0,105.23716074330466,0.0,7,variable_dt,44745,256,0.9764165079686791,0.08471049455692992,0.0011438734945841134
ppo_ltc,0.9955339431762695,0.0,0.765625,0.0,64.0,0.0,-67.99894136898219,0.0,0.0021798003635922214,8.033915946725756e-06,0.16072162985801697,0.0,0.10796875809319317,0.0,64.0,0.0,0.234375,0.0,105.23716074330466,0.0,7,variable_dt,44809,256,1.9082763829501346,0.16005318646784872,0.0003649635473266244
ppo_ltc_lfm,0.9961659908294678,0.00030106306076049805,0.796875,0.0,64.0,0.0,-73.29040771480649,0.09532641153782606,0.003077951289014891,1.4869005099171773e-05,0.36098839342594147,0.01578177511692047,0.09113480732776225,0.0,64.0,0.0,0.203125,0.0,105.23716074330466,0.0,7,variable_dt,78281,256,2.971930642030202,0.22245997347636148,0.0013220745022408664
ppo_mlp,0.9999426007270813,0.0,0.6875,0.0,64.0,0.0,-58.656205107644226,0.0,0.0006474602923844941,1.2080818123649806e-07,0.0,0.0,0.12279494176618755,0.0,64.0,0.0,0.3125,0.0,105.23716074330466,0.0,7,variable_dt,56585,256,0.7542164450278506,0.06229657947551459,8.128245826810598e-05
random_policy,0.9992319345474243,0.0002581477165222168,0.75,0.0625,64.0,0.0,-66.67593695907854,9.298801846662556,5.472208613355178e-06,2.5880308385239914e-07,2.0273619890213013,0.01528465747833252,0.10559343779459596,0.023711276007816195,64.0,0.0,0.25,0.0625,105.23716074330466,0.0,7,variable_dt,0,0,,,
