scenario,model,num_seeds,mean_mean_background_fairness,std_mean_background_fairness,mean_std_background_fairness,std_std_background_fairness,mean_mean_collision_rate,std_mean_collision_rate,mean_std_collision_rate,std_std_collision_rate,mean_mean_episode_length,std_mean_episode_length,mean_std_episode_length,std_std_episode_length,mean_mean_episode_reward,std_mean_episode_reward,mean_std_episode_reward,std_std_episode_reward,mean_mean_mean_forward_time,std_mean_mean_forward_time,mean_std_mean_forward_time,std_std_mean_forward_time,mean_mean_policy_entropy,std_mean_policy_entropy,mean_std_policy_entropy,std_std_policy_entropy,mean_mean_spectrum_utilization,std_mean_spectrum_utilization,mean_std_spectrum_utilization,std_std_spectrum_utilization,mean_mean_steps,std_mean_steps,mean_std_steps,std_std_steps,mean_mean_success_rate,std_mean_success_rate,mean_std_success_rate,std_std_success_rate,mean_mean_wall_clock_proxy_time,std_mean_wall_clock_proxy_time,mean_std_wall_clock_proxy_time,std_std_wall_clock_proxy_time,mean_parameter_count,std_parameter_count,mean_train_steps,std_train_steps,mean_wall_clock_training_time,std_wall_clock_training_time,mean_mean_wall_clock_episode_seconds,std_mean_wall_clock_episode_seconds,mean_std_wall_clock_episode_seconds,std_std_wall_clock_episode_seconds
stationary,greedy_heuristic,1,0.9983359575271606,0.0,0.0,0.0,0.859375,0.0,0.0,0.0,64.0,0.0,0.0,0.0,-83.27410124745221,0.0,0.0,0.0,1.0243070391879883e-05,0.0,6.66376763547305e-07,0.0,2.0069186687469482,0.0,0.0,0.0,0.07462307438254356,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.140625,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
stationary,ppo_gru,1,0.9986019730567932,0.0,0.0,0.0,0.71875,0.0,0.0,0.0,64.0,0.0,0.0,0.0,-62.09037043098363,0.0,0.0,0.0,0.0010243882570648566,0.0,1.0510029824217781e-06,0.0,0.0,0.0,0.0,0.0,0.10098740248940885,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.28125,0.0,0.0,0.0,64.0,0.0,0.0,0.0,36425.0,0.0,256.0,0.0,1.1257486690301448,0.0,0.08544310351135209,0.0,5.822454113513231e-06,0.0
stationary,ppo_lfm,1,0.998897910118103,0.0,0.0,0.0,0.7734375,0.0,0.0078125,0.0,64.0,0.0,0.0,0.0,-69.90320631749927,0.0,1.208534232527029,0.0,0.0019284017107565887,0.0,3.747070877579972e-06,0.0,0.16413488239049911,0.0,0.02507408708333969,0.0,0.08933278173208237,0.0,0.0027704446110874414,0.0,64.0,0.0,0.0,0.0,0.2265625,0.0,0.0078125,0.0,64.0,0.0,0.0,0.0,78409.0,0.0,256.0,0.0,1.6912876949645579,0.0,0.14474477793555707,0.0,0.00020616897381842136,0.0
stationary,ppo_lstm,1,0.9995813965797424,0.0,0.0,0.0,0.65625,0.0,0.0,0.0,64.0,0.0,0.0,0.0,-54.94893039725722,0.0,0.0,0.0,0.0009885565614240477,0.0,2.564545866334811e-05,0.0,0.23379166424274445,0.0,0.0,0.0,0.12067250651307404,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.34375,0.0,0.0,0.0,64.0,0.0,0.0,0.0,44745.0,0.0,256.0,0.0,1.0507980319671333,0.0,0.08334825350902975,0.0,0.0019969925051555037,0.0
stationary,ppo_ltc,1,0.9945797324180603,0.0,0.0,0.0,0.71875,0.0,0.0,0.0,64.0,0.0,0.0,0.0,-59.579068988934175,0.0,0.0,0.0,0.0025148953000098118,0.0,0.0001421269980710349,0.0,0.08048482984304428,0.0,0.0,0.0,0.11705981637351215,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.28125,0.0,0.0,0.0,64.0,0.0,0.0,0.0,44809.0,0.0,256.0,0.0,2.032087811967358,0.0,0.18670084502082318,0.0,0.01208031503483653,0.0
stationary,ppo_ltc_lfm,1,0.9958341717720032,0.0,0.0,0.0,0.75,0.0,0.0,0.0,64.0,0.0,0.0,0.0,-65.09338786713782,0.0,0.0,0.0,0.0029927836958449916,0.0,0.00010005161584558664,0.0,0.27416592836380005,0.0,0.0,0.0,0.095991789130494,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,64.0,0.0,0.0,0.0,78281.0,0.0,256.0,0.0,2.5963600139366463,0.0,0.21436040749540552,0.0,0.008258786459919065,0.0
stationary,ppo_mlp,1,0.9994688630104065,0.0,0.0,0.0,0.625,0.0,0.0,0.0,64.0,0.0,0.0,0.0,-43.243379581347135,0.0,0.0,0.0,0.0006943036596567254,0.0,1.843015525082592e-06,0.0,0.5363593101501465,0.0,0.0,0.0,0.14622198650613427,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,64.0,0.0,0.0,0.0,56585.0,0.0,256.0,0.0,6.6800317340530455,0.0,0.06475276296259835,0.0,0.00010468700202181935,0.0
stationary,random_policy,1,0.9959932565689087,0.0,0.001280665397644043,0.0,0.6796875,0.0,0.0546875,0.0,64.0,0.0,0.0,0.0,-54.18187102563681,0.0,9.126086154207588,0.0,8.883001100912225e-06,0.0,1.2558148227981292e-06,0.0,2.0273619890213013,0.0,0.01528465747833252,0.0,0.12774368445388973,0.0,0.028554922435432673,0.0,64.0,0.0,0.0,0.0,0.3203125,0.0,0.0546875,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
variable_dt,greedy_heuristic,1,0.9917057752609253,0.0,0.0,0.0,0.875,0.0,0.0,0.0,64.0,0.0,0.0,0.0,-87.47190918149427,0.0,0.0,0.0,1.0145102351089008e-05,0.0,5.317633622325957e-08,0.0,1.9934501647949219,0.0,0.0,0.0,0.06590069970116019,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,105.23716074330466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
variable_dt,ppo_gru,1,0.9990502595901489,0.0,0.0,0.0,0.828125,0.0,0.0,0.0,64.0,0.0,0.0,0.0,-79.81144351735715,0.0,0.0,0.0,0.0009919161175275804,0.0,3.081367140111979e-06,0.0,0.0,0.0,0.0,0.0,0.06484941858798265,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.171875,0.0,0.0,0.0,105.23716074330466,0.0,0.0,0.0,36425.0,0.0,256.0,0.0,0.9914259070064873,0.0,0.08331255801022053,0.0,0.000373351969756186,0.0
