scenario,model,mean_mean_episode_reward,mean_mean_spectrum_utilization,mean_mean_collision_rate,mean_wall_clock_training_time,mean_parameter_count
interference_heavy,greedy_heuristic,-120.48199606843295,0.05746467541903257,0.8255208333333334,,0.0
interference_heavy,ppo_gru,-85.4052844761809,0.08498399255719657,0.7260416666666666,4.941551162744872,36425.0
interference_heavy,ppo_lfm,-80.27891130444286,0.09037795851860816,0.70625,8.890970735787414,78409.0
interference_heavy,ppo_lstm,-83.74271414108577,0.08282404479299052,0.7244791666666668,4.9746788871707395,44745.0
interference_heavy,ppo_ltc,-83.73204867059987,0.08430720928202694,0.7192708333333333,9.49529836382717,44809.0
interference_heavy,ppo_ltc_lfm,-82.2444150224949,0.0885734291980043,0.7072916666666667,12.564326890627854,78281.0
interference_heavy,ppo_mlp,-80.55927780325837,0.0878979543961274,0.7067708333333333,3.851763773197308,56585.0
interference_heavy,random_policy,-81.53910657882692,0.08817682174655299,0.7088541666666667,,0.0
noisy_partial,greedy_heuristic,-70.57207820983993,0.09142963637132198,0.7697916666666667,,0.0
noisy_partial,ppo_gru,-76.5059539662612,0.07259995023099085,0.8078125,5.032225073385052,36425.0
noisy_partial,ppo_lfm,-71.81220156232594,0.08315059042846164,0.78125,9.093067787401377,78409.0
noisy_partial,ppo_lstm,-75.65580856519908,0.07367448599543422,0.8020833333333334,5.788801867607981,44745.0
noisy_partial,ppo_ltc,-75.70827393128073,0.07544475318863988,0.8036458333333332,9.233314831997268,44809.0
noisy_partial,ppo_ltc_lfm,-72.81557329473243,0.07899887688690796,0.7880208333333333,13.267818778427317,78281.0
noisy_partial,ppo_mlp,-73.4714992545328,0.08202365906909108,0.7916666666666666,3.803363458579406,56585.0
noisy_partial,random_policy,-78.11461076340794,0.06856627435578654,0.8177083333333334,,0.0
non_stationary,greedy_heuristic,-78.7036935033269,0.07627441963801782,0.8338541666666666,,0.0
non_stationary,ppo_gru,-72.17888793573096,0.0800875092196899,0.7848958333333333,5.216096345195547,36425.0
non_stationary,ppo_lfm,-68.99609751642993,0.08865186338468144,0.7671875,8.688613661821,78409.0
non_stationary,ppo_lstm,-71.30950510444937,0.08327031649338702,0.7807291666666666,4.923291676584631,44745.0
non_stationary,ppo_ltc,-74.79102196858886,0.07712334940054764,0.8010416666666668,9.325709763192572,44809.0
non_stationary,ppo_ltc_lfm,-71.09196655331937,0.08312692673255999,0.7744791666666667,13.205159624828957,78281.0
non_stationary,ppo_mlp,-72.25264394882447,0.08345101985614747,0.7880208333333333,3.7904380027670412,56585.0
non_stationary,random_policy,-71.55460531005637,0.07949056765452647,0.78125,,0.0
stationary,greedy_heuristic,-80.41950507186043,0.0823899733989189,0.8484375,,0.0
stationary,ppo_gru,-53.96701034530067,0.1263437522187208,0.6755208333333333,5.013725444395095,36425.0
stationary,ppo_lfm,-55.2397908180083,0.12280751983635126,0.6880208333333333,8.720388646656648,78409.0
stationary,ppo_lstm,-50.42330631112216,0.13540659301603833,0.6604166666666667,4.951912864577025,44745.0
stationary,ppo_ltc,-58.510123296220186,0.113457107435291,0.7036458333333333,9.404499517194926,44809.0
stationary,ppo_ltc_lfm,-48.447339554061195,0.13886771015046787,0.6453125,13.135447324439884,78281.0
stationary,ppo_mlp,-53.857411933215346,0.12692202303248148,0.6770833333333334,4.3228128246031705,56585.0
stationary,random_policy,-53.6584547418387,0.12666313982723904,0.6760416666666667,,0.0
variable_dt,greedy_heuristic,-93.17114111404906,0.055649964969294766,0.8890625,,0.0
variable_dt,ppo_gru,-77.64777925084813,0.073875573114492,0.8171875,5.354383073444478,36425.0
variable_dt,ppo_lfm,-73.69790657851846,0.0836749736374865,0.79375,8.612947038188576,78409.0
variable_dt,ppo_lstm,-80.0947948320924,0.06722456338660171,0.8317708333333332,4.962292522983626,44745.0
variable_dt,ppo_ltc,-76.36530405650498,0.07986950034586092,0.8145833333333334,10.151154923974536,44809.0
variable_dt,ppo_ltc_lfm,-73.81476371026754,0.08620274357963353,0.7958333333333334,13.32794988239184,78281.0
variable_dt,ppo_mlp,-76.89677333224644,0.07647871845401824,0.8140625,3.817717344383709,56585.0
variable_dt,random_policy,-76.96357368900559,0.0745455870948111,0.8145833333333334,,0.0
varying_users_large,greedy_heuristic,-115.79763187477985,0.02666212636977434,0.9479166666666667,,0.0
varying_users_large,ppo_gru,-74.93245627324099,0.08254964695079252,0.7786458333333333,5.002329445770011,36425.0
varying_users_large,ppo_lfm,-76.57819581017831,0.07684592040410887,0.7838541666666666,9.55574802798219,78409.0
varying_users_large,ppo_lstm,-74.65529435550175,0.08112597438351563,0.7817708333333333,4.999240960180759,44745.0
varying_users_large,ppo_ltc,-71.13161202131151,0.0888437064519773,0.75625,9.59070434900932,44809.0
varying_users_large,ppo_ltc_lfm,-75.2644565447777,0.07869766949055096,0.7796875,12.005539764789864,78281.0
varying_users_large,ppo_mlp,-75.73093273598082,0.07681597078529497,0.7890624999999999,3.8030988449929284,56585.0
varying_users_large,random_policy,-71.92294267963155,0.08555509819028277,0.7630208333333333,,0.0
varying_users_small,greedy_heuristic,-36.764766574379365,0.19652656404456742,0.6421875,,0.0
