model,mean_background_fairness,std_background_fairness,mean_collision_rate,std_collision_rate,mean_episode_length,std_episode_length,mean_episode_reward,std_episode_reward,mean_mean_forward_time,std_mean_forward_time,mean_policy_entropy,std_policy_entropy,mean_spectrum_utilization,std_spectrum_utilization,mean_steps,std_steps,mean_success_rate,std_success_rate,mean_wall_clock_proxy_time,std_wall_clock_proxy_time,seed,scenario,parameter_count,train_steps,wall_clock_training_time,mean_wall_clock_episode_seconds,std_wall_clock_episode_seconds
random_policy,0.9979999562104543,0.001593375590292239,0.6953125,0.0546875,64.0,0.0,-56.730192664482956,8.460213731332693,5.395215339376591e-06,2.351283340658254e-07,2.0318389336268106,0.012396191596662512,0.1170292404325058,0.021910342291671627,64.0,0.0,0.3046875,0.0546875,64.0,0.0,7,stationary,0,0,,,
random_policy,0.9987376431624094,0.0007622628914294817,0.5729166666666666,0.062282608036986445,64.0,0.0,-37.37664461424575,9.736245141146176,5.1156560706052305e-06,1.9760289660343743e-07,2.0114252964655557,0.0429368275539304,0.167098503986684,0.0250544605692084,64.0,0.0,0.4270833333333333,0.062282608036986445,64.0,0.0,19,stationary,0,0,,,
random_policy,0.99750484029452,0.0011761803902274998,0.7213541666666666,0.07407011798608276,64.0,0.0,-60.608983256760986,12.168180544954987,4.969836785069977e-06,1.1412363238840667e-07,2.0459755261739097,0.016067855183445768,0.10892350777673225,0.029978885222158053,64.0,0.0,0.2786458333333333,0.07407011798608276,64.0,0.0,23,stationary,0,0,,,
random_policy,0.9979713559150696,0.0006188806161080358,0.6510416666666666,0.04995657836784083,64.0,0.0,-49.216689481601755,9.127492118165963,5.134828522083505e-06,1.613513146958436e-07,2.0063581069310508,0.020992822895274665,0.14079601488386592,0.02763263690836925,64.0,0.0,0.3489583333333333,0.04995657836784083,64.0,0.0,41,stationary,0,0,,,
random_policy,0.998842457930247,0.0006765173488501407,0.7395833333333334,0.048300096330706796,64.0,0.0,-64.3597636921021,7.72516858986925,4.99798109861634e-06,1.3470340264607712e-07,2.0268675684928894,0.027983487016403755,0.09946843205640714,0.02268344718094089,64.0,0.0,0.2604166666666667,0.04830009633070679,64.0,0.0,89,stationary,0,0,,,
greedy_heuristic,0.9900650779406229,0.004749749996010359,0.8515625,0.034646184103255394,64.0,0.0,-81.14419490491662,6.39758180917723,9.609760430369837e-06,2.4165510682314396e-07,1.8823814392089844,0.12573952566382418,0.08064799515220027,0.022093325848911945,64.0,0.0,0.1484375,0.034646184103255394,64.0,0.0,7,stationary,0,0,,,
greedy_heuristic,0.9880810081958771,0.007012904738127734,0.8385416666666666,0.02147450846675865,64.0,0.0,-77.8539936210184,4.769790302678131,9.488012741106408e-06,1.838136149913176e-07,1.931457022825877,0.07747626215484624,0.0853980027216797,0.015177727991256707,64.0,0.0,0.16145833333333334,0.02147450846675865,64.0,0.0,19,stationary,0,0,,,
greedy_heuristic,0.9919522702693939,0.010452645371951787,0.8385416666666666,0.05234310219333797,64.0,0.0,-78.36287529499582,9.223048307306673,9.472997286745036e-06,3.1507572943262494e-07,1.903068979581197,0.060828092061094095,0.08429861542147894,0.02597798646198852,64.0,0.0,0.16145833333333334,0.05234310219333797,64.0,0.0,23,stationary,0,0,,,
greedy_heuristic,0.9917295078436533,0.004796311579967126,0.8541666666666666,0.04388619673529354,64.0,0.0,-81.71827720917453,8.628661108360694,9.356089321954641e-06,8.376245019071701e-08,1.842242419719696,0.10179967275684278,0.08226235610588144,0.022832673607058093,64.0,0.0,0.14583333333333334,0.04388619673529354,64.0,0.0,41,stationary,0,0,,,
greedy_heuristic,0.9886997242768606,0.00755088449057394,0.859375,0.03125,64.0,0.0,-83.01818432919681,7.046371823881239,9.410312486579642e-06,2.809843837915369e-07,1.9194744030634563,0.057357538713913914,0.07934289759335418,0.020940985875329245,64.0,0.0,0.140625,0.03125,64.0,0.0,89,stationary,0,0,,,
ppo_mlp,0.9985945423444113,0.0007030289891172642,0.6536458333333334,0.06835627473128483,64.0,0.0,-50.88607252010457,12.272914044806114,0.0006409816254138908,6.757434622926944e-06,0.0,0.0,0.13056377740576863,0.03322409198318358,64.0,0.0,0.3463541666666667,0.06835627473128483,64.0,0.0,7,stationary,56585,1536,7.274825628963299,0.060612849173291274,0.0006578881928870435
ppo_mlp,0.9967043201128641,0.0035436623213009376,0.6484375,0.05393832077397911,64.0,0.0,-48.63495562719183,9.309288750734764,0.0006376379242283292,7.453938563234677e-06,0.0,0.0,0.14356828632298857,0.024943782293546983,64.0,0.0,0.3515625,0.05393832077397911,64.0,0.0,19,stationary,56585,1536,3.487496311077848,0.0602533045069625,0.0009778040257709649
ppo_mlp,0.9979052344957987,0.0016753998754375924,0.6328125,0.07747122281585164,64.0,0.0,-46.98772055969263,13.998706369324681,0.0006511145499340879,5.901640096207046e-06,0.0,0.0,0.1475084861352419,0.0378937242982592,64.0,0.0,0.3671875,0.07747122281585164,64.0,0.0,23,stationary,56585,1536,3.549332835013047,0.06179771067885061,0.0008044871540782626
ppo_mlp,0.9977849821249644,0.002690759550665614,0.71875,0.08068715304598785,64.0,0.0,-60.275309106567896,14.191113902547073,0.0006575129415674988,7.2404289077036016e-06,0.0,0.0,0.1097597493402039,0.0341420981097874,64.0,0.0,0.28125,0.08068715304598785,64.0,0.0,41,stationary,56585,1536,3.559447598992847,0.06253743767350291,0.0006439563075038406
