scenario,model,num_seeds,mean_mean_background_fairness,std_mean_background_fairness,mean_std_background_fairness,std_std_background_fairness,mean_mean_collision_rate,std_mean_collision_rate,mean_std_collision_rate,std_std_collision_rate,mean_mean_episode_length,std_mean_episode_length,mean_std_episode_length,std_std_episode_length,mean_mean_episode_reward,std_mean_episode_reward,mean_std_episode_reward,std_std_episode_reward,mean_mean_mean_forward_time,std_mean_mean_forward_time,mean_std_mean_forward_time,std_std_mean_forward_time,mean_mean_policy_entropy,std_mean_policy_entropy,mean_std_policy_entropy,std_std_policy_entropy,mean_mean_spectrum_utilization,std_mean_spectrum_utilization,mean_std_spectrum_utilization,std_std_spectrum_utilization,mean_mean_steps,std_mean_steps,mean_std_steps,std_std_steps,mean_mean_success_rate,std_mean_success_rate,mean_std_success_rate,std_std_success_rate,mean_mean_wall_clock_proxy_time,std_mean_wall_clock_proxy_time,mean_std_wall_clock_proxy_time,std_std_wall_clock_proxy_time,mean_parameter_count,std_parameter_count,mean_train_steps,std_train_steps,mean_wall_clock_training_time,std_wall_clock_training_time,mean_mean_wall_clock_episode_seconds,std_mean_wall_clock_episode_seconds,mean_std_wall_clock_episode_seconds,std_std_wall_clock_episode_seconds
interference_heavy,greedy_heuristic,5,0.9905438423156738,0.0016668159846826404,0.005003222126528113,0.0010883053190066333,0.8255208333333334,0.017352428384330907,0.050511382239954286,0.015533761516391308,64.0,0.0,0.0,0.0,-120.48199606843295,4.285059049019542,11.540052743274108,3.8823160977600426,9.965675902397682e-06,1.7809950701471127e-07,3.8042440144637815e-07,8.393785504211365e-08,1.7354729731877643,0.03705454165599847,0.12698789412140746,0.05861879636694628,0.05746467541903257,0.006066409526547157,0.021035105804655493,0.0062673850663210184,64.0,0.0,0.0,0.0,0.17447916666666666,0.017352428384330917,0.050511382239954286,0.015533761516391308,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
interference_heavy,ppo_gru,5,0.9980355779329937,0.0003485726654271194,0.0014738075586249052,0.0008530858686860057,0.7260416666666666,0.018072241221768207,0.07695741698929982,0.02274737618084348,64.0,0.0,0.0,0.0,-85.4052844761809,4.032714476660499,14.201314243557126,4.427916838045941,0.0010006743864626817,1.3711273350654813e-05,9.948535800892197e-06,4.721016913328335e-06,0.030214060346285505,0.05397168002232997,0.012288736029056871,0.01505758652408654,0.08498399255719657,0.008457564976881347,0.024692724903701536,0.007940336591622812,64.0,0.0,0.0,0.0,0.2739583333333333,0.018072241221768197,0.07695741698929982,0.02274737618084348,64.0,0.0,0.0,0.0,36425.0,0.0,1536.0,0.0,4.941551162744872,0.06781227284313689,0.08625530638576796,0.000906406577098832,0.0007052577106022986,0.0002809502830797357
interference_heavy,ppo_lfm,5,0.9982860585053762,0.0004982096850929454,0.0011054735035015426,0.0005357871600765693,0.70625,0.01965412735845127,0.05380081103070651,0.016049905562006268,64.0,0.0,0.0,0.0,-80.27891130444286,4.6245856016169276,9.016756152232151,4.586724737520504,0.002095309386519754,0.0004728327128364052,0.00017014939096732712,0.0002829254279138563,0.0,0.0,0.0,0.0,0.09037795851860816,0.006938980339082867,0.018894450957134164,0.007526374934111562,64.0,0.0,0.0,0.0,0.29375,0.01965412735845125,0.05380081103070651,0.016049905562006268,64.0,0.0,0.0,0.0,78409.0,0.0,1536.0,0.0,8.890970735787414,1.1795992660322314,0.1614868899729724,0.036225357665652054,0.013746700085395807,0.023323064148560477
interference_heavy,ppo_lstm,5,0.9982610781987507,0.0005921194561198123,0.0012585942946979954,0.0007779853818144408,0.7244791666666668,0.017383665904456898,0.07891182782873664,0.0274588595342609,64.0,0.0,0.0,0.0,-83.74271414108577,4.079519208705326,15.0214575354231,6.78804541534507,0.0009614324815629515,5.5524143118594056e-05,2.6435418876622997e-05,2.837154560356242e-05,0.0,0.0,0.0,0.0,0.08282404479299052,0.008936385830482698,0.02958631655035332,0.00936377344111004,64.0,0.0,0.0,0.0,0.2755208333333334,0.017383665904456922,0.07891182782873664,0.0274588595342609,64.0,0.0,0.0,0.0,44745.0,0.0,1536.0,0.0,4.9746788871707395,0.2963540367390807,0.08515674963127823,0.004363332588283277,0.002127728239955963,0.0024815672941857205
interference_heavy,ppo_ltc,5,0.9978870491186778,0.0004362186549001009,0.0014892196396824695,0.0008615204544337106,0.7192708333333333,0.055326132187039585,0.060318011244516044,0.02641867307166555,64.0,0.0,0.0,0.0,-83.73204867059987,10.389413980207635,11.077817565541775,4.8307725047204135,0.002346119820564733,4.05969001381328e-05,6.950551955519628e-05,1.72036808090119e-05,0.30761729006965954,0.4550319199795774,0.061182881382378526,0.07554076969047796,0.08430720928202694,0.01805692087621782,0.0214842954114129,0.008102975370679572,64.0,0.0,0.0,0.0,0.28072916666666664,0.055326132187039585,0.060318011244516044,0.02641867307166555,64.0,0.0,0.0,0.0,44809.0,0.0,1536.0,0.0,9.49529836382717,0.2134218249897712,0.17494413572130724,0.002985220124676894,0.005804416836572674,0.0011495424601658452
interference_heavy,ppo_ltc_lfm,5,0.9982009053230285,0.0005049018938781057,0.0008991163678068804,0.0003603185714176593,0.7072916666666667,0.022072520937934482,0.06594708287054325,0.005407168316136697,64.0,0.0,0.0,0.0,-82.2444150224949,4.023726393936138,11.89809987664982,0.9307464276850685,0.003198878053262888,0.0003712529189189421,0.00022263149948513494,0.00028571866390791033,0.10512128472328186,0.15640199791447484,0.04960579259237748,0.06251274106906232,0.0885734291980043,0.007809574483740579,0.021279557283955898,0.0009534207763219789,64.0,0.0,0.0,0.0,0.29270833333333335,0.022072520937934464,0.06594708287054325,0.005407168316136699,64.0,0.0,0.0,0.0,78281.0,0.0,1536.0,0.0,12.564326890627854,0.8449735773760279,0.2337575196948213,0.02747635617423401,0.01645911141644712,0.020631924225922076
interference_heavy,ppo_mlp,5,0.9981141984462738,0.00045864994609999115,0.0007553057177877314,0.0004371064480437974,0.7067708333333333,0.03662906452607761,0.0645622560324557,0.020232444606365235,64.0,0.0,0.0,0.0,-80.55927780325837,6.084247862122405,11.509652465662262,3.176802253053765,0.0006863308952839968,2.1255951590900237e-05,1.3194958356113485e-05,8.113682741035796e-06,0.0,0.0,0.0,0.0,0.0878979543961274,0.012721113222003309,0.019949526979745825,0.005962590943463393,64.0,0.0,0.0,0.0,0.29322916666666665,0.03662906452607759,0.0645622560324557,0.020232444606365235,64.0,0.0,0.0,0.0,56585.0,0.0,1536.0,0.0,3.851763773197308,0.06731717078941346,0.0680105670937337,0.0019038904046434573,0.0012556575844619245,0.0007435430262680712
interference_heavy,random_policy,5,0.9980476041634878,0.0005393820190969264,0.0010742299156229161,0.0005250786706105495,0.7088541666666667,0.02601039789413285,0.066639236256915,0.01937947851782509,64.0,0.0,0.0,0.0,-81.53910657882692,4.770203166661298,12.049180473451518,3.0462099220117365,5.420401612354908e-06,1.8680899300581027e-07,2.512853565800736e-07,6.698133051336573e-08,2.024493086338043,0.014288033240713871,0.02407543684914342,0.010780107216697333,0.08817682174655299,0.007921335112074946,0.019881838373490585,0.006761055890975863,64.0,0.0,0.0,0.0,0.2911458333333333,0.026010397894132866,0.066639236256915,0.01937947851782509,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
noisy_partial,greedy_heuristic,5,0.9955621818701426,0.00013640165945051817,0.002806853299074738,0.0005394401909048818,0.7697916666666667,0.026841872347344024,0.05162983271156141,0.026727358523068238,64.0,0.0,0.0,0.0,-70.57207820983993,4.571219501927312,9.500669217641683,4.96442845107504,1.006824204523582e-05,1.1322293310610265e-07,2.749822267271449e-07,7.702856371301641e-08,1.949862869580587,0.012507765761573263,0.06718664782469815,0.01111292995999179,0.09142963637132198,0.012470861981991356,0.021729160947397762,0.01325506170982819,64.0,0.0,0.0,0.0,0.2302083333333333,0.026841872347344014,0.05162983271156141,0.026727358523068238,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
noisy_partial,ppo_gru,5,0.997917890548706,0.0004963150920205095,0.0012461372569842924,0.00046846026471454284,0.8078125,0.019305992700886076,0.058557618693419224,0.008626891775496002,64.0,0.0,0.0,0.0,-76.5059539662612,2.997577682499879,10.362582962561175,2.104499607052447,0.0010111549504775515,1.334938945291695e-05,1.3850719816165443e-05,5.0109376780278685e-06,0.0,0.0,0.0,0.0,0.07259995023099085,0.007809062402120346,0.024099329869289813,0.006610812195023222,64.0,0.0,0.0,0.0,0.19218749999999998,0.01930599270088608,0.058557618693419224,0.008626891775496002,64.0,0.0,0.0,0.0,36425.0,0.0,1536.0,0.0,5.032225073385052,0.151203201070155,0.08602093125615891,0.001279350779233441,0.000959707266180606,0.0003498139425577656
