scenario,variant,reward,reward_gain_vs_mlp,utilization,collision_rate,collision_change_vs_mlp,train_time_s
stationary,PPO-LTC,-58.510123296220186,-4.652711363004833,0.113457107435291,0.7036458333333333,0.026562499999999933,9.404499517194926
stationary,PPO-LFM,-55.2397908180083,-1.3823788847929492,0.1228075198363512,0.6880208333333333,0.010937499999999933,8.720388646656648
stationary,PPO-LTC-LFM,-48.4473395540612,5.410072379154151,0.1388677101504678,0.6453125,-0.031770833333333415,13.135447324439884
non_stationary,PPO-LTC,-74.79102196858886,-2.5383780197643944,0.0771233494005476,0.8010416666666668,0.013020833333333481,9.325709763192572
non_stationary,PPO-LFM,-68.99609751642993,3.2565464323945434,0.0886518633846814,0.7671875,-0.02083333333333326,8.688613661821
non_stationary,PPO-LTC-LFM,-71.09196655331937,1.160677395505104,0.0831269267325599,0.7744791666666667,-0.013541666666666563,13.205159624828957
interference_heavy,PPO-LTC,-83.73204867059987,-3.172770867341498,0.0843072092820269,0.7192708333333333,0.012499999999999956,9.49529836382717
interference_heavy,PPO-LFM,-80.27891130444286,0.28036649881551057,0.0903779585186081,0.70625,-0.0005208333333333037,8.890970735787414
interference_heavy,PPO-LTC-LFM,-82.2444150224949,-1.6851372192365375,0.0885734291980043,0.7072916666666667,0.0005208333333333037,12.564326890627854
varying_users_small,PPO-LTC,-38.528196982431695,-4.110514761443092,0.1671966236938412,0.5916666666666667,0.02604166666666663,9.441239773388952
varying_users_small,PPO-LFM,-29.94511685863293,4.472565362355674,0.189969685456405,0.5421875,-0.0234375,8.206865167990326
varying_users_small,PPO-LTC-LFM,-38.7120656803328,-4.294383459344196,0.1696417673801382,0.5947916666666666,0.029166666666666563,12.24678433162626
varying_users_large,PPO-LTC,-71.13161202131151,4.599320714669304,0.0888437064519773,0.75625,-0.03281249999999991,9.59070434900932
varying_users_large,PPO-LFM,-76.57819581017831,-0.8472630741974996,0.0768459204041088,0.7838541666666666,-0.005208333333333259,9.55574802798219
varying_users_large,PPO-LTC-LFM,-75.2644565447777,0.4664761912031139,0.0786976694905509,0.7796875,-0.009374999999999911,12.005539764789864
noisy_partial,PPO-LTC,-75.70827393128073,-2.2367746767479275,0.0754447531886398,0.8036458333333332,0.01197916666666654,9.233314831997268
noisy_partial,PPO-LFM,-71.81220156232594,1.659297692206863,0.0831505904284616,0.78125,-0.01041666666666663,9.093067787401376
noisy_partial,PPO-LTC-LFM,-72.81557329473243,0.6559259598003706,0.0789988768869079,0.7880208333333333,-0.003645833333333348,13.267818778427316
variable_dt,PPO-LTC,-76.36530405650498,0.5314692757414576,0.0798695003458609,0.8145833333333334,0.0005208333333334147,10.151154923974536
variable_dt,PPO-LFM,-73.69790657851846,3.198866753727984,0.0836749736374865,0.79375,-0.020312500000000067,8.612947038188576
variable_dt,PPO-LTC-LFM,-73.81476371026754,3.082009621978898,0.0862027435796335,0.7958333333333334,-0.01822916666666663,13.32794988239184
