model_pretty,avg_reward,avg_utilization,avg_collision_rate,avg_train_time_s,parameters
PPO-LFM,-65.22117434979096,0.10506835880944322,0.7232142857142857,8.82408586654679,78409.0
PPO-LTC-LFM,-66.05579719428371,0.10344416048832321,0.7264880952380952,12.821860942447426,78281.0
PPO-MLP,-66.7408887470067,0.10143983486895666,0.7331845238095237,3.843959259501259,56585.0
PPO-LSTM,-67.39762050338119,0.09979043231606259,0.7368303571428572,5.044329617870972,44745.0
PPO-GRU,-68.25418002183461,0.09864340772619469,0.7391369047619047,5.077438287709707,36425.0
PPO-LTC,-68.3952258467054,0.09803460711402638,0.7414434523809524,9.520274503226391,44809.0
Greedy heuristic,-85.13011605952407,0.08377105145870392,0.8223958333333333,,0.0
