comparison_id,family,scenario,label_a,label_b,n_pairs,mean_a,mean_b,mean_difference,ci_low,ci_high,ci_level,p_value,p_method,holm_adjusted_p,significant,cliffs_delta,cliffs_delta_magnitude,verdict,interval_contains_zero,description
F2_learning_check:ppo_mlp:trained_vs_untrained:irregular_dt,F2_learning_check,irregular_dt,ppo_mlp(trained),ppo_mlp(untrained),12,-26.667245,-50.801148,24.133903,20.509337,27.714007,0.95,0.000488,exact_sign_flip,0.003418,True,0.986111,large,favours_a,False,"ppo_mlp(trained) scored 24.134 higher than ppo_mlp(untrained) on irregular_dt (95% CI [20.509, 27.714], p=0.000 (exact_sign_flip), n=12, Cliff's delta 0.986 [large])."
F2_learning_check:ppo_transformer:trained_vs_untrained:irregular_dt,F2_learning_check,irregular_dt,ppo_transformer(trained),ppo_transformer(untrained),12,-34.924021,-53.748127,18.824106,12.272587,24.248768,0.95,0.000977,exact_sign_flip,0.003906,True,0.902778,large,favours_a,False,"ppo_transformer(trained) scored 18.824 higher than ppo_transformer(untrained) on irregular_dt (95% CI [12.273, 24.249], p=0.001 (exact_sign_flip), n=12, Cliff's delta 0.903 [large])."
F3_hybrid_decomposition:ppo_ltc_cfc_vs_ppo_cfc:irregular_dt,F3_hybrid_decomposition,irregular_dt,ppo_ltc_cfc,ppo_cfc,12,-50.318939,-27.233834,-23.085104,-28.824527,-17.763222,0.95,0.000488,exact_sign_flip,0.000977,True,-1.0,large,favours_b,False,"ppo_ltc_cfc scored 23.085 lower than ppo_cfc on irregular_dt (95% CI [-28.825, -17.763], p=0.000 (exact_sign_flip), n=12, Cliff's delta -1.000 [large])."
F3_hybrid_decomposition:ppo_ltc_cfc_vs_ppo_ltc:irregular_dt,F3_hybrid_decomposition,irregular_dt,ppo_ltc_cfc,ppo_ltc,12,-50.318939,-49.658275,-0.660664,-5.187871,3.628896,0.95,0.783203,exact_sign_flip,0.783203,False,0.048611,negligible,no_detectable_difference,True,"ppo_ltc_cfc vs ppo_ltc on irregular_dt: no detectable difference (mean difference -0.661, 95% CI [-5.188, 3.629], p=0.783 (exact_sign_flip), n=12)."
F4_dt_awareness_control:ppo_cfc_vs_ppo_cfc_dtblind:stationary,F4_dt_awareness_control,stationary,ppo_cfc,ppo_cfc_dtblind,12,-24.977287,-30.336481,5.359194,1.821787,8.793733,0.95,0.016602,exact_sign_flip,0.016602,True,0.472222,medium,favours_a,False,"ppo_cfc scored 5.359 higher than ppo_cfc_dtblind on stationary (95% CI [1.822, 8.794], p=0.017 (exact_sign_flip), n=12, Cliff's delta 0.472 [medium])."
F5_liquid_vs_conventional:ppo_cfc_vs_ppo_gru:irregular_dt,F5_liquid_vs_conventional,irregular_dt,ppo_cfc,ppo_gru,12,-27.233834,-34.783379,7.549544,1.608293,14.140623,0.95,0.037598,exact_sign_flip,0.075195,False,0.583333,large,no_detectable_difference,False,"ppo_cfc vs ppo_gru on irregular_dt: no detectable difference (mean difference 7.550, 95% CI [1.608, 14.141], p=0.038 (exact_sign_flip), n=12)."
F5_liquid_vs_conventional:ppo_cfc_vs_ppo_mlp:irregular_dt,F5_liquid_vs_conventional,irregular_dt,ppo_cfc,ppo_mlp,12,-27.233834,-26.667245,-0.566589,-5.453957,4.389746,0.95,0.83252,exact_sign_flip,0.83252,False,-0.069444,negligible,no_detectable_difference,True,"ppo_cfc vs ppo_mlp on irregular_dt: no detectable difference (mean difference -0.567, 95% CI [-5.454, 4.390], p=0.833 (exact_sign_flip), n=12)."
F5_liquid_vs_conventional:ppo_cfc_vs_ppo_transformer:irregular_dt,F5_liquid_vs_conventional,irregular_dt,ppo_cfc,ppo_transformer,12,-27.233834,-34.924021,7.690187,2.39778,13.583531,0.95,0.017578,exact_sign_flip,0.052734,False,0.569444,large,no_detectable_difference,False,"ppo_cfc vs ppo_transformer on irregular_dt: no detectable difference (mean difference 7.690, 95% CI [2.398, 13.584], p=0.018 (exact_sign_flip), n=12)."
F5_liquid_vs_conventional:ppo_ltc_cfc_vs_ppo_gru:irregular_dt,F5_liquid_vs_conventional,irregular_dt,ppo_ltc_cfc,ppo_gru,12,-50.318939,-34.783379,-15.53556,-20.775836,-10.204596,0.95,0.000977,exact_sign_flip,0.006836,True,-0.833333,large,favours_b,False,"ppo_ltc_cfc scored 15.536 lower than ppo_gru on irregular_dt (95% CI [-20.776, -10.205], p=0.001 (exact_sign_flip), n=12, Cliff's delta -0.833 [large])."
F5_liquid_vs_conventional:ppo_ltc_cfc_vs_ppo_mlp:irregular_dt,F5_liquid_vs_conventional,irregular_dt,ppo_ltc_cfc,ppo_mlp,12,-50.318939,-26.667245,-23.651694,-28.214022,-18.98162,0.95,0.000488,exact_sign_flip,0.004395,True,-1.0,large,favours_b,False,"ppo_ltc_cfc scored 23.652 lower than ppo_mlp on irregular_dt (95% CI [-28.214, -18.982], p=0.000 (exact_sign_flip), n=12, Cliff's delta -1.000 [large])."
