episode_reward,spectrum_utilization,collision_rate,success_rate,wall_clock_proxy_time,policy_entropy,background_fairness,steps,train_step,episode_length,wall_clock_training_seconds
-85.94769746735695,0.0802025985904038,0.734375,0.265625,64.0,2.0358192920684814,0.9993391036987305,64.0,64.0,64.0,0.09167598304338753
-89.51165398210286,0.074331593234092,0.765625,0.234375,64.0,1.9642558097839355,0.9989622831344604,64.0,128.0,64.0,0.08995116397272795
-105.06947507709265,0.03478603053372353,0.859375,0.140625,64.0,2.051701068878174,0.9990819096565247,64.0,192.0,64.0,0.08648229099344462
-78.57742788568142,0.08349628886207938,0.6875,0.3125,64.0,2.0473740100860596,0.9975192546844482,64.0,256.0,64.0,0.0878495789365843
-77.10569145902994,0.09436864359304309,0.6875,0.3125,64.0,1.961010456085205,0.9975503087043762,64.0,320.0,64.0,0.09813393501099199
-91.6491639882326,0.06617970787920058,0.78125,0.21875,64.0,2.0105810165405273,0.9969823360443115,64.0,384.0,64.0,0.09182758000679314
-98.42368286252024,0.05868204194121063,0.796875,0.203125,64.0,1.9599897861480713,0.9992982745170593,64.0,448.0,64.0,0.08995773200877011
-103.77135813366621,0.05366806639358401,0.828125,0.171875,64.0,1.99235200881958,0.998672604560852,64.0,512.0,64.0,0.48888518707826734
-92.30192677229645,0.06465935381129384,0.75,0.25,64.0,1.885788083076477,0.9991291165351868,64.0,576.0,64.0,0.08874183904845268
-63.02138647809625,0.12042563874274492,0.640625,0.359375,64.0,1.859710454940796,0.9996221661567688,64.0,640.0,64.0,0.08985815197229385
-82.70705267377198,0.08983899489976466,0.703125,0.296875,64.0,1.8380634784698486,0.9990321397781372,64.0,704.0,64.0,0.08885720104444772
-83.56758205220108,0.09179022372700274,0.734375,0.265625,64.0,1.8915202617645264,0.9987757205963135,64.0,768.0,64.0,0.08985440607648343
-90.63049250766636,0.07131656666751951,0.765625,0.234375,64.0,1.9707082509994507,0.9989027380943298,64.0,832.0,64.0,0.08979109197389334
-75.69544538408522,0.08766209008172154,0.65625,0.34375,64.0,1.9209023714065552,0.9976353645324707,64.0,896.0,64.0,0.09000167704652995
-71.08402576074009,0.09706556820310652,0.625,0.375,64.0,1.8746414184570312,0.9988390207290649,64.0,960.0,64.0,0.08879949804395437
-73.97803546935324,0.10080198827199638,0.65625,0.34375,64.0,1.8682953119277954,0.9994121193885803,64.0,1024.0,64.0,0.4882261410821229
-68.05433666780594,0.10993091040290892,0.640625,0.359375,64.0,1.9234825372695923,0.9979711174964905,64.0,1088.0,64.0,0.09803274599835277
-80.62837123572827,0.09962540422566235,0.703125,0.296875,64.0,1.8166686296463013,0.9974960684776306,64.0,1152.0,64.0,0.09940830001141876
-86.68623137548566,0.07631934364326298,0.71875,0.28125,64.0,1.8707664012908936,0.998872697353363,64.0,1216.0,64.0,0.0905626459280029
-78.84474460743371,0.07635141117498279,0.703125,0.296875,64.0,1.7411762475967407,0.999677300453186,64.0,1280.0,64.0,0.09333676192909479
-84.17152393758295,0.08298742398619652,0.75,0.25,64.0,1.7905699014663696,0.998814582824707,64.0,1344.0,64.0,0.10861425299663097
-64.78103884123267,0.11553523724433035,0.609375,0.390625,64.0,1.7194554805755615,0.9980794787406921,64.0,1408.0,64.0,0.09799292904790491
-75.45995059981946,0.09462830983102322,0.6875,0.3125,64.0,1.762948751449585,0.9987425208091736,64.0,1472.0,64.0,0.10296489403117448
-85.80815399549901,0.0767850331030786,0.734375,0.265625,64.0,1.805625081062317,0.9972390532493591,64.0,1536.0,64.0,0.5599367719842121
