episode_reward,spectrum_utilization,collision_rate,success_rate,wall_clock_proxy_time,policy_entropy,background_fairness,steps,train_step,episode_length,wall_clock_training_seconds
-75.71617409810423,0.07789795869030058,0.8125,0.1875,64.0,1.9079805612564087,0.9981542825698853,64.0,64.0,64.0,0.11260120500810444
-79.599463599734,0.06552959280088544,0.828125,0.171875,64.0,2.0566165447235107,0.9969520568847656,64.0,128.0,64.0,0.11953376804012805
-56.160620662569976,0.1186015959829092,0.6875,0.3125,64.0,2.0400304794311523,0.9987713694572449,64.0,192.0,64.0,0.12369301996659487
-77.16508683785798,0.06753334240056574,0.8125,0.1875,64.0,2.0263562202453613,0.9991843104362488,64.0,256.0,64.0,0.1299246340058744
-81.14861164912584,0.05727982637472451,0.84375,0.15625,64.0,2.0265469551086426,0.999563455581665,64.0,320.0,64.0,0.1117750380653888
-69.35608324296774,0.09056014288216829,0.765625,0.234375,64.0,2.0207343101501465,0.9990032911300659,64.0,384.0,64.0,0.12217679806053638
-79.47619633274154,0.07286204537376761,0.828125,0.171875,64.0,1.9630975723266602,0.9969520568847656,64.0,448.0,64.0,0.12573898199480027
-82.3935209669173,0.0615423284471035,0.84375,0.15625,64.0,2.034608840942383,0.9974101781845093,64.0,512.0,64.0,0.6175884079420939
-70.61701549477877,0.0921868490986526,0.765625,0.234375,64.0,1.9953770637512207,0.9979020357131958,64.0,576.0,64.0,0.11460410105064511
-71.93622749689966,0.07975082308985293,0.796875,0.203125,64.0,2.064324140548706,0.9986202716827393,64.0,640.0,64.0,0.10961345606483519
-87.36427762061355,0.043041513999924064,0.890625,0.109375,64.0,2.018868923187256,0.9976913332939148,64.0,704.0,64.0,0.11361564393155277
-79.48416911927055,0.059536170680075884,0.84375,0.15625,64.0,1.9864797592163086,0.9971247911453247,64.0,768.0,64.0,0.11639524600468576
-75.09010610897099,0.07077473122626543,0.796875,0.203125,64.0,1.9626905918121338,0.9995043873786926,64.0,832.0,64.0,0.11512066901195794
-84.01769442651424,0.055395689560100436,0.859375,0.140625,64.0,2.0489253997802734,0.9976949095726013,64.0,896.0,64.0,0.11377687600906938
-73.92509589958938,0.07267350819893181,0.796875,0.203125,64.0,2.021392345428467,0.9973233342170715,64.0,960.0,64.0,0.11671250499784946
-78.40749246813358,0.07081918185576797,0.828125,0.171875,64.0,2.0101189613342285,0.9953920841217041,64.0,1024.0,64.0,0.6070721599971876
-62.57884324416523,0.10158550343476236,0.703125,0.296875,64.0,1.9596160650253296,0.9994763135910034,64.0,1088.0,64.0,0.11005457898136228
-84.98115237597378,0.05041447491385043,0.84375,0.15625,64.0,2.0428218841552734,0.997715950012207,64.0,1152.0,64.0,0.11096452898345888
-70.80129313841465,0.08835325064137578,0.78125,0.21875,64.0,1.9682166576385498,0.9986876249313354,64.0,1216.0,64.0,0.11101345403585583
-50.578324650228005,0.12546159652993083,0.640625,0.359375,64.0,1.9251916408538818,0.9999350905418396,64.0,1280.0,64.0,0.11034329899121076
-75.2441504811868,0.07224274356849492,0.796875,0.203125,64.0,2.0000860691070557,0.998237133026123,64.0,1344.0,64.0,0.10897225292865187
-66.43771486934277,0.09098963369615376,0.75,0.25,64.0,1.9741225242614746,0.9994474649429321,64.0,1408.0,64.0,0.10887722996994853
-53.99088179860268,0.1215676513966173,0.671875,0.328125,64.0,1.8852993249893188,0.9960717558860779,64.0,1472.0,64.0,0.10850399604532868
-64.17064656056468,0.08764950255863369,0.71875,0.28125,64.0,1.9217673540115356,0.9983385801315308,64.0,1536.0,64.0,0.601671155076474
