episode_reward,spectrum_utilization,collision_rate,success_rate,wall_clock_proxy_time,policy_entropy,background_fairness,steps,train_step,episode_length,wall_clock_training_seconds
-24.7423772342503,0.21426195767708123,0.515625,0.484375,64.0,1.954437017440796,0.9996441006660461,64.0,64.0,64.0,0.2761796379927546
-53.95037907212977,0.11750478111207485,0.671875,0.328125,64.0,1.8994929790496826,0.999657154083252,64.0,128.0,64.0,0.27641485701315105
-39.24399441508576,0.16878725355491042,0.59375,0.40625,64.0,1.9624875783920288,0.9999216794967651,64.0,192.0,64.0,0.27389250905252993
-32.053624788671726,0.18411134858615696,0.546875,0.453125,64.0,1.9588664770126343,0.999630331993103,64.0,256.0,64.0,0.27297524304594845
-23.8183551242575,0.19967180932871997,0.5,0.5,64.0,1.9004307985305786,1.0,64.0,320.0,64.0,0.2712807689094916
-22.507664148509498,0.19753076834604144,0.484375,0.515625,64.0,2.032041311264038,0.9978211522102356,64.0,384.0,64.0,0.2729004679713398
-26.713523801788675,0.19493731064721942,0.515625,0.484375,64.0,1.9192240238189697,0.9949238300323486,64.0,448.0,64.0,0.26757973700296134
-34.09995464645327,0.18431438109837472,0.5625,0.4375,64.0,1.9076521396636963,0.999912679195404,64.0,512.0,64.0,1.5056853740243241
-30.627237951010486,0.18841258622705936,0.546875,0.453125,64.0,1.7293412685394287,0.9999057650566101,64.0,576.0,64.0,0.2849479060387239
-46.18529567047954,0.16125547350384295,0.65625,0.34375,64.0,2.0039312839508057,1.0,64.0,640.0,64.0,0.2827259600162506
-36.687983042933034,0.1660442512948066,0.578125,0.421875,64.0,1.7989469766616821,0.9991523623466492,64.0,704.0,64.0,0.27380397205706686
-20.898830972611904,0.22479293239302933,0.5,0.5,64.0,1.8116395473480225,0.9960387945175171,64.0,768.0,64.0,0.27758226299192756
-37.98001980371774,0.1745653422549367,0.59375,0.40625,64.0,1.6714856624603271,0.99992436170578,64.0,832.0,64.0,0.27316126110963523
-29.37740955427288,0.17893715132959187,0.515625,0.484375,64.0,1.7473971843719482,0.9986794590950012,64.0,896.0,64.0,0.27508362103253603
-21.737841555476177,0.22059811768122017,0.5,0.5,64.0,1.8186423778533936,0.9999158382415771,64.0,960.0,64.0,0.27377776405774057
-50.0785476896912,0.1303549469448626,0.65625,0.34375,64.0,1.6710684299468994,0.9990825653076172,64.0,1024.0,64.0,1.5254559220047668
-35.201827609539016,0.17122492659837008,0.578125,0.421875,64.0,1.8309476375579834,0.9996001720428467,64.0,1088.0,64.0,0.2757480889558792
-26.696075444016596,0.19024782697670162,0.515625,0.484375,64.0,1.7603840827941895,0.9996001720428467,64.0,1152.0,64.0,0.26704986800905317
-33.44417302794754,0.18599681719206274,0.5625,0.4375,64.0,1.704529881477356,0.9977375268936157,64.0,1216.0,64.0,0.2702475080732256
-49.917585198860635,0.13146102870814502,0.65625,0.34375,64.0,1.7686659097671509,0.9985780119895935,64.0,1280.0,64.0,0.26924870593938977
-2.9928111102431965,0.2682666750624776,0.390625,0.609375,64.0,1.5767877101898193,0.9999092817306519,64.0,1344.0,64.0,0.2728881340008229
-44.83781461957842,0.15110683045350015,0.625,0.375,64.0,1.7149686813354492,0.99992436170578,64.0,1408.0,64.0,0.2811054770136252
-33.94949950315058,0.1839980175718665,0.5625,0.4375,64.0,1.725456714630127,0.9999188184738159,64.0,1472.0,64.0,0.2985049190465361
-28.630928648263207,0.21091228630393744,0.546875,0.453125,64.0,1.6323896646499634,0.9992956519126892,64.0,1536.0,64.0,1.5414493100252002
