episode_reward,spectrum_utilization,collision_rate,success_rate,wall_clock_proxy_time,policy_entropy,background_fairness,steps,train_step,episode_length,wall_clock_training_seconds
-35.45060527510942,0.17930658557452261,0.578125,0.421875,64.0,2.0379133224487305,0.999630331993103,64.0,64.0,64.0,0.19444201700389385
-33.83157601580022,0.1806060941889882,0.5625,0.4375,64.0,2.0594680309295654,0.9992145299911499,64.0,128.0,64.0,0.19480961293447763
-48.70729722753165,0.13723717094399035,0.65625,0.34375,64.0,2.03305721282959,0.9965517520904541,64.0,192.0,64.0,0.19348692195490003
-23.31749461386352,0.21546794287860394,0.5,0.5,64.0,2.0431766510009766,0.9999188184738159,64.0,256.0,64.0,0.1918508519884199
-44.51235127076509,0.14886518218554556,0.625,0.375,64.0,1.9947166442871094,0.9986794590950012,64.0,320.0,64.0,0.2014403259381652
-22.334424005541937,0.20496681611984968,0.5,0.5,64.0,2.008878707885742,0.999657154083252,64.0,384.0,64.0,0.2110128760104999
-39.18184336908164,0.16647182777523994,0.59375,0.40625,64.0,1.8735129833221436,0.9999092817306519,64.0,448.0,64.0,0.206154776038602
-45.46036988086998,0.15316966315731406,0.625,0.375,64.0,1.9869303703308105,0.9990825653076172,64.0,512.0,64.0,1.0493984799832106
-54.6969394363463,0.12102903705090284,0.6875,0.3125,64.0,1.8978352546691895,0.9979002475738525,64.0,576.0,64.0,0.18765160499606282
-51.27494858819992,0.14322888595052063,0.6875,0.3125,64.0,1.7923595905303955,0.9918032884597778,64.0,640.0,64.0,0.19082046498078853
-28.374775852262964,0.2011198177933693,0.53125,0.46875,64.0,1.8374868631362915,0.9969230890274048,64.0,704.0,64.0,0.18827083508949727
-30.770419551059597,0.18939488916657865,0.546875,0.453125,64.0,1.9242888689041138,0.9954025149345398,64.0,768.0,64.0,0.1892932099290192
-28.325124929472793,0.19472311320714653,0.53125,0.46875,64.0,1.6781704425811768,0.9991843104362488,64.0,832.0,64.0,0.1861624919110909
-25.829564513824867,0.2080341090913862,0.53125,0.46875,64.0,1.7151347398757935,0.9965517520904541,64.0,896.0,64.0,0.18815368600189686
-39.10071598272771,0.17409572447650135,0.609375,0.390625,64.0,1.754084825515747,0.9992430806159973,64.0,960.0,64.0,0.1899118541041389
-30.967638358846287,0.1810612070839852,0.546875,0.453125,64.0,1.6242868900299072,0.9984644651412964,64.0,1024.0,64.0,1.033298732014373
-51.563031139597314,0.13509455532766879,0.671875,0.328125,64.0,1.7349656820297241,0.9985780119895935,64.0,1088.0,64.0,0.196221090038307
-36.69606868922711,0.1827330063097179,0.59375,0.40625,64.0,1.608010172843933,0.9966826438903809,64.0,1152.0,64.0,0.19539122702553868
-24.895986344851543,0.20518454373814166,0.515625,0.484375,64.0,1.6414653062820435,0.9958927035331726,64.0,1216.0,64.0,0.19584359996952116
-37.28071889793501,0.17376920231617987,0.59375,0.40625,64.0,1.5520129203796387,0.9998891949653625,64.0,1280.0,64.0,0.20267943607177585
-7.9127211209386425,0.2476947398390621,0.40625,0.59375,64.0,1.7068363428115845,0.9999158382415771,64.0,1344.0,64.0,0.1999786290107295
-33.93012860380112,0.16939952201209962,0.5625,0.4375,64.0,1.6097321510314941,0.9974557161331177,64.0,1408.0,64.0,0.20748337404802442
-19.56285524033009,0.23650495568290353,0.5,0.5,64.0,1.6335946321487427,0.9929748773574829,64.0,1472.0,64.0,0.21221410704310983
-52.34971274305138,0.12896236986853182,0.671875,0.328125,64.0,1.6044690608978271,0.999912679195404,64.0,1536.0,64.0,1.1579642430879176
