policy_loss,value_loss,entropy,approx_kl
-0.0021291847030321756,349.4229329427083,2.073798497517904,0.0003436369200547536
-0.0009457630415757498,227.72291564941406,2.073303540547689,0.0003372803330421448
0.00021407753229141235,494.0160725911458,2.0725725491841636,0.00038715700308481854
5.44885794321696e-06,407.95567830403644,2.071818192799886,0.00034108757972717285
-0.0005378083636363348,458.47385660807294,2.0713897546132407,0.00037771215041478473
-0.0002265541503826777,379.5639139811198,2.0706384976704917,0.00028654995063940686
-0.0009256402651468912,230.92489624023438,2.0705881118774414,0.00028070124487082165
-0.0004804690058032672,421.96999104817706,2.0701709588368735,0.000190059964855512
-0.0008139666169881821,329.8960876464844,2.0695693492889404,0.0009052592019240061
-0.0008481405675411224,428.6790771484375,2.0700995922088623,0.0008457147826751074
-0.0003544396410385768,267.56932576497394,2.0687242348988852,0.00045530498027801514
-0.002661183476448059,393.65045166015625,2.0670553843180337,0.0002209686984618505
-0.0032485642780860267,346.8916524251302,2.0645193258921304,0.001139881710211436
-0.002842415745059649,381.11854044596356,2.0604661305745444,0.00019267077247301737
-0.0015641845141847928,392.01580810546875,2.0537909666697183,0.0007057736317316691
-0.0019468491276105244,329.16693115234375,2.0446199576059976,0.0012996258834997814
-0.0007054259379704794,344.2373555501302,2.0365707079569497,0.0019969604909420013
-0.0038650594651699066,162.39532470703125,2.0284770329793296,0.0010333092262347539
-0.000374153566857179,447.22876993815106,2.014496088027954,7.138835887114207e-05
-0.0007705607761939367,327.3324483235677,2.006924549738566,0.0014833367119232814
-0.001784509668747584,262.4200439453125,1.9970987637837727,0.0015925746411085129
-0.000890951914091905,339.64173380533856,1.9860939979553223,0.0006909190366665522
-0.0007587975511948267,274.55124918619794,1.9767787059148152,0.0004604204247395198
0.0007141157984733582,255.1314442952474,1.9638198216756184,0.0013612074156602223
