episode_reward,spectrum_utilization,collision_rate,success_rate,wall_clock_proxy_time,policy_entropy,background_fairness,steps,train_step,episode_length,wall_clock_training_seconds
-97.69585014581686,0.049488138407468796,0.796875,0.203125,64.0,2.0107736587524414,0.9992427825927734,64.0,64.0,64.0,0.12058720097411424
-83.35361723899842,0.08608841255772859,0.734375,0.265625,64.0,2.044386386871338,0.998674750328064,64.0,128.0,64.0,0.11986759398132563
-52.90546900257468,0.14260711567476392,0.5625,0.4375,64.0,2.0496139526367188,0.9994848966598511,64.0,192.0,64.0,0.11924444895703346
-82.79940992966296,0.07818951178342104,0.71875,0.28125,64.0,2.03346586227417,0.9987266659736633,64.0,256.0,64.0,0.11658061493653804
-86.17716227024798,0.081591269467026,0.75,0.25,64.0,2.0069189071655273,0.9985740184783936,64.0,320.0,64.0,0.12311168294399977
-66.29417774006724,0.11191922286525369,0.625,0.375,64.0,2.0256834030151367,0.9977043867111206,64.0,384.0,64.0,0.11601564090233296
-102.87004590034486,0.058370414888486266,0.828125,0.171875,64.0,1.9984186887741089,0.9993423819541931,64.0,448.0,64.0,0.11504079797305167
-77.95390616469086,0.09057354927062988,0.6875,0.3125,64.0,1.9586646556854248,0.9967082142829895,64.0,512.0,64.0,0.630370588041842
-87.06490966677669,0.06816838309168816,0.734375,0.265625,64.0,2.029752492904663,0.9990851879119873,64.0,576.0,64.0,0.11764594400301576
-95.58208785802127,0.0651501843240112,0.75,0.25,64.0,2.0564279556274414,0.9963699579238892,64.0,640.0,64.0,0.11751432903110981
-72.67373732402922,0.11080389842391014,0.671875,0.328125,64.0,1.998929738998413,0.9993438720703125,64.0,704.0,64.0,0.12108040601015091
-91.09632170945407,0.07060509524308145,0.765625,0.234375,64.0,2.0187594890594482,0.9964110851287842,64.0,768.0,64.0,0.1403425739845261
-97.30695414394143,0.07303021312691271,0.765625,0.234375,64.0,2.047410011291504,0.998034656047821,64.0,832.0,64.0,0.13811596494633704
-91.1770388364792,0.06907700537703931,0.765625,0.234375,64.0,2.000953197479248,0.9988788366317749,64.0,896.0,64.0,0.1372431080089882
-101.20450035035613,0.05829367181286216,0.8125,0.1875,64.0,2.0072596073150635,0.9982722401618958,64.0,960.0,64.0,0.12907131400424987
-69.5817724399269,0.11014111572876573,0.640625,0.359375,64.0,2.030853509902954,0.9986437559127808,64.0,1024.0,64.0,0.6808169999858364
-60.51559064313772,0.11909968103282154,0.59375,0.40625,64.0,1.9841761589050293,0.999931812286377,64.0,1088.0,64.0,0.12517233297694474
-96.75191814452413,0.0455116432858631,0.796875,0.203125,64.0,1.9197478294372559,0.9988746643066406,64.0,1152.0,64.0,0.11688911402598023
-67.70426032990218,0.11477735498920083,0.640625,0.359375,64.0,1.9246435165405273,0.9977055191993713,64.0,1216.0,64.0,0.11237886699382216
-95.06707663163544,0.06327358621638268,0.78125,0.21875,64.0,1.9136648178100586,0.998136043548584,64.0,1280.0,64.0,0.11246822203975171
-103.92537495829164,0.0436545698903501,0.84375,0.15625,64.0,1.9849746227264404,0.9987441897392273,64.0,1344.0,64.0,0.1142124900361523
-92.38200617954136,0.08255766658112407,0.765625,0.234375,64.0,1.8751845359802246,0.9976493716239929,64.0,1408.0,64.0,0.11471674998756498
-82.94433779045941,0.10477582761086524,0.734375,0.265625,64.0,1.997005581855774,0.9992244243621826,64.0,1472.0,64.0,0.11586288502439857
-89.66418313384058,0.05597327905707061,0.75,0.25,64.0,1.9419032335281372,0.998863160610199,64.0,1536.0,64.0,0.6542459520278499
