policy_loss,value_loss,entropy,approx_kl
-0.007888054785629114,332.7965494791667,2.0505412419637046,0.0019450020045042038
0.0011486342797676723,370.06707763671875,2.048661152521769,0.007027884945273399
-0.0058786384761333466,393.7471211751302,2.0477281411488852,0.0036094275613625846
-0.0030539234479268393,308.7733561197917,2.027366797129313,0.00459920863310496
-0.004587280253569285,282.64182535807294,2.019952376683553,0.006562298163771629
-0.001444105679790179,148.86686197916666,2.0171196460723877,0.001409731184442838
-0.00045369503398736316,303.10394287109375,2.003336548805237,0.002934760103623072
-0.00037110596895217896,378.6060078938802,1.9916839202245076,0.0032845294723908105
0.0002864021807909012,433.8550618489583,1.9772647221883137,0.0022414550185203552
-0.002718016505241394,419.9717305501302,1.9722809394200642,0.0027344307551781335
-0.005949823806683223,347.3628641764323,1.9669444958368938,0.0036645419895648956
-0.004025444698830445,410.02440388997394,1.950514833132426,0.0004509066541989644
-0.0042818474272886915,469.3210957845052,1.9375533660252888,0.0015888058890899022
-0.005639490981896718,523.0630493164062,1.931927482287089,0.0028526466339826584
-0.0027011524265011153,301.1377868652344,1.9312936464945476,0.004256135473648707
-0.0021378652503093085,428.38690185546875,1.9373312791188557,0.002998757486542066
-0.000750118245681127,345.22935994466144,1.9337064027786255,0.00293587955335776
-0.002250854546825091,120.05595143636067,1.9262841542561848,0.001805815224846204
-0.002026857187350591,417.31151326497394,1.9164905945460002,0.0033314935863018036
-0.002595004625618458,413.602783203125,1.9020158449808757,0.00476266381641229
-0.0015165476749340694,219.05215962727866,1.8866122961044312,0.0014729325970013936
-0.0032778996974229813,381.96106974283856,1.875240643819173,0.0017537133147319157
-0.005878596566617489,370.35973103841144,1.8780298233032227,0.0008109770715236664
0.00047522907455762226,428.6761983235677,1.8792985677719116,0.0019346363842487335
