episode_reward,spectrum_utilization,collision_rate,success_rate,wall_clock_proxy_time,policy_entropy,background_fairness,steps,train_step,episode_length,wall_clock_training_seconds
-30.101061153784386,0.1987282803747803,0.546875,0.453125,64.0,2.0386240482330322,0.9988359212875366,64.0,64.0,64.0,0.2350210479926318
-50.62442407086493,0.13139104237779975,0.65625,0.34375,64.0,1.873164176940918,0.9984005689620972,64.0,128.0,64.0,0.23604894999880344
-46.17917224280537,0.14935845439322293,0.625,0.375,64.0,2.0185446739196777,0.9955652356147766,64.0,192.0,64.0,0.2653390720952302
-45.94721987396478,0.14791346224956214,0.625,0.375,64.0,2.009460926055908,0.9990165829658508,64.0,256.0,64.0,0.2248143390752375
-34.343074442818754,0.17890817765146494,0.5625,0.4375,64.0,2.008129358291626,0.9981850981712341,64.0,320.0,64.0,0.22075396100990474
-60.386150952428615,0.12402031198143959,0.71875,0.28125,64.0,2.028458595275879,0.999423623085022,64.0,384.0,64.0,0.22631642001215369
-62.27323978692293,0.10066701262257993,0.71875,0.28125,64.0,1.9908398389816284,0.9982882738113403,64.0,448.0,64.0,0.21986938291229308
-69.99567445106808,0.09186192764900625,0.78125,0.21875,64.0,2.027423858642578,0.9940760731697083,64.0,512.0,64.0,1.205511164967902
-56.974928636476406,0.10407767072319984,0.6875,0.3125,64.0,1.9437209367752075,0.9992145299911499,64.0,576.0,64.0,0.2340826620347798
-66.61790798902513,0.08683224092237651,0.75,0.25,64.0,1.9709935188293457,0.9984146356582642,64.0,640.0,64.0,0.22523761400952935
-57.958840189129134,0.11524874018505216,0.703125,0.296875,64.0,1.978716254234314,0.9992144703865051,64.0,704.0,64.0,0.2129533940460533
-37.40687428005039,0.17671866761520505,0.578125,0.421875,64.0,1.980373740196228,0.9995813965797424,64.0,768.0,64.0,0.21373173699248582
-65.76448176968844,0.09116419847123325,0.75,0.25,64.0,1.975264310836792,0.9988771677017212,64.0,832.0,64.0,0.21210722799878567
-54.31253339461982,0.11767858359962702,0.671875,0.328125,64.0,1.8970370292663574,0.9991042613983154,64.0,896.0,64.0,0.2066027349792421
-56.02135210298007,0.12652208656072617,0.6875,0.3125,64.0,1.8417692184448242,0.9995467066764832,64.0,960.0,64.0,0.21608857391402125
-40.33098084814849,0.16728705028072,0.59375,0.40625,64.0,1.9388220310211182,0.9976984858512878,64.0,1024.0,64.0,1.1819534010719508
-63.64711715988818,0.09896049508824944,0.734375,0.265625,64.0,1.9580698013305664,0.9995043873786926,64.0,1088.0,64.0,0.2288682929938659
-63.43382499814037,0.09024840174242854,0.71875,0.28125,64.0,2.0356011390686035,0.999423623085022,64.0,1152.0,64.0,0.22128878999501467
-53.39934989064935,0.1313412389717996,0.6875,0.3125,64.0,1.8974831104278564,0.9984604120254517,64.0,1216.0,64.0,0.2174241580069065
-72.75910409092909,0.0743003785610199,0.78125,0.21875,64.0,1.92201566696167,0.9982859492301941,64.0,1280.0,64.0,0.2154511499684304
-43.35009688436985,0.156291495077312,0.625,0.375,64.0,1.9092633724212646,0.9988150000572205,64.0,1344.0,64.0,0.2170197160448879
-52.73741117883477,0.11961834807880223,0.671875,0.328125,64.0,1.9032456874847412,0.999548077583313,64.0,1408.0,64.0,0.21238643303513527
-47.83532396741213,0.156193035421893,0.640625,0.359375,64.0,1.8698394298553467,0.9984185695648193,64.0,1472.0,64.0,0.21636676706839353
-54.54599407352509,0.12835571868345141,0.671875,0.328125,64.0,1.9979004859924316,0.997868537902832,64.0,1536.0,64.0,1.201679058955051
