episode_reward,spectrum_utilization,collision_rate,success_rate,wall_clock_proxy_time,policy_entropy,background_fairness,steps,train_step,episode_length,wall_clock_training_seconds
-70.03421628829092,0.08840884570963681,0.765625,0.234375,64.0,1.9946277141571045,0.9982361197471619,64.0,64.0,64.0,0.1703760769451037
-76.79964016452435,0.06473861914128065,0.8125,0.1875,64.0,2.0618367195129395,0.9985475540161133,64.0,128.0,64.0,0.16439834900666028
-71.05612878035757,0.07429755269549787,0.765625,0.234375,64.0,2.047410011291504,0.9996130466461182,64.0,192.0,64.0,0.1672287971014157
-80.69081999538469,0.059709175024181604,0.84375,0.15625,64.0,2.0049946308135986,0.998109757900238,64.0,256.0,64.0,0.1715909430058673
-70.26879803445192,0.09959230641834438,0.78125,0.21875,64.0,1.9891728162765503,0.9963775277137756,64.0,320.0,64.0,0.16093771299347281
-66.69021703619514,0.0833299052901566,0.75,0.25,64.0,2.0414528846740723,0.9951749444007874,64.0,384.0,64.0,0.15154921798966825
-75.9917708013207,0.06592732947319746,0.8125,0.1875,64.0,2.0265469551086426,0.9984345436096191,64.0,448.0,64.0,0.15778784989379346
-59.45222200285645,0.11206685984507203,0.71875,0.28125,64.0,2.0489253997802734,0.9987494945526123,64.0,512.0,64.0,0.8534359049517661
-86.77305316347632,0.04816898168064654,0.875,0.125,64.0,1.996360182762146,0.9978282451629639,64.0,576.0,64.0,0.1666290359571576
-91.81986047010868,0.04229160048998892,0.90625,0.09375,64.0,1.9887081384658813,0.9985228776931763,64.0,640.0,64.0,0.1613644800381735
-65.80814729370177,0.09150165203027427,0.75,0.25,64.0,2.0428218841552734,0.9992150664329529,64.0,704.0,64.0,0.1622638520784676
-80.56945883054287,0.060915293637663126,0.84375,0.15625,64.0,1.99235200881958,0.9995197057723999,64.0,768.0,64.0,0.15571890398859978
-63.01532786451283,0.10988416988402605,0.734375,0.265625,64.0,1.9751238822937012,0.9963861107826233,64.0,832.0,64.0,0.15797005500644445
-69.6696072323248,0.0904481434263289,0.75,0.25,64.0,2.0597329139709473,0.9982941150665283,64.0,896.0,64.0,0.16134319896809757
-94.48877422688528,0.029577534878626466,0.90625,0.09375,64.0,2.060626268386841,0.9960799813270569,64.0,960.0,64.0,0.16073352401144803
-56.12854949422181,0.11010223929770291,0.65625,0.34375,64.0,1.961810827255249,0.9991910457611084,64.0,1024.0,64.0,0.8706760790664703
-84.01349535360931,0.055884622037410736,0.859375,0.140625,64.0,1.918351173400879,0.9985648393630981,64.0,1088.0,64.0,0.1607079489622265
-77.43401682190601,0.06526406621560454,0.796875,0.203125,64.0,2.0005295276641846,0.9985451102256775,64.0,1152.0,64.0,0.16351964604109526
-71.39666299112143,0.07968174992129207,0.765625,0.234375,64.0,1.9756877422332764,0.9994102716445923,64.0,1216.0,64.0,0.1608372520422563
-80.21175751015544,0.06885668379254639,0.828125,0.171875,64.0,2.013197422027588,0.9997837543487549,64.0,1280.0,64.0,0.1519431850174442
-75.45326780034232,0.0641566498670727,0.796875,0.203125,64.0,1.9332587718963623,0.997048556804657,64.0,1344.0,64.0,0.15777619904838502
-74.06152418041603,0.0717823076993227,0.796875,0.203125,64.0,1.894431710243225,0.9990752339363098,64.0,1408.0,64.0,0.14980113797355443
-81.76630963739011,0.058677363907918334,0.859375,0.140625,64.0,1.9819090366363525,0.9975123405456543,64.0,1472.0,64.0,0.15346786403097212
-76.72429099660367,0.08422503061592579,0.8125,0.1875,64.0,1.9393539428710938,0.9971966743469238,64.0,1536.0,64.0,0.8504422110272571
