episode_reward,spectrum_utilization,collision_rate,success_rate,wall_clock_proxy_time,policy_entropy,background_fairness,steps,train_step,episode_length,wall_clock_training_seconds
-94.87043023332954,0.06408268818631768,0.796875,0.203125,64.0,2.012838125228882,0.9978187680244446,64.0,64.0,64.0,0.12139401701278985
-92.24156747311356,0.07283588196150959,0.78125,0.21875,64.0,2.0177125930786133,0.9991465210914612,64.0,128.0,64.0,0.12029466801322997
-100.94381056129933,0.06143758096732199,0.8125,0.1875,64.0,1.9834096431732178,0.9979172348976135,64.0,192.0,64.0,0.11579603410791606
-110.41951571926475,0.05107094463892281,0.859375,0.140625,64.0,2.0618367195129395,0.997842013835907,64.0,256.0,64.0,0.11743168800603598
-87.55924577042462,0.08028763066977262,0.75,0.25,64.0,1.9723682403564453,0.9992831945419312,64.0,320.0,64.0,0.12098620901815593
-110.9275913603604,0.03963371366262436,0.875,0.125,64.0,2.0136590003967285,0.9992419481277466,64.0,384.0,64.0,0.11759535898454487
-99.44008238539101,0.057320968713611364,0.8125,0.1875,64.0,1.9445195198059082,0.998220682144165,64.0,448.0,64.0,0.11756873095873743
-61.33871720805765,0.13421928440220654,0.609375,0.390625,64.0,2.0120248794555664,0.9989229440689087,64.0,512.0,64.0,0.6241782520664856
-82.0217021882534,0.08977054711431265,0.71875,0.28125,64.0,1.994644045829773,0.9961723685264587,64.0,576.0,64.0,0.11657816800288856
-87.60085568428045,0.06990643288008869,0.765625,0.234375,64.0,2.0074729919433594,0.99831223487854,64.0,640.0,64.0,0.11982301704119891
-63.01847747266295,0.13818794512189925,0.625,0.375,64.0,2.019702911376953,0.9977672696113586,64.0,704.0,64.0,0.11852591799106449
-83.0627188816667,0.07945030671544373,0.71875,0.28125,64.0,1.9759074449539185,0.9982208609580994,64.0,768.0,64.0,0.11992664798162878
-81.94045542888344,0.08391117211431265,0.703125,0.296875,64.0,1.990839958190918,0.9996705651283264,64.0,832.0,64.0,0.11896980495657772
-84.65754299089313,0.07885814516339451,0.734375,0.265625,64.0,2.0508244037628174,0.9970085620880127,64.0,896.0,64.0,0.12106605002190918
-91.62084425985817,0.06616809335537255,0.75,0.25,64.0,1.8904855251312256,0.997260332107544,64.0,960.0,64.0,0.1219625590601936
-91.34620381221178,0.06574459024704993,0.765625,0.234375,64.0,2.0225670337677,0.9974798560142517,64.0,1024.0,64.0,0.6359772959258407
-112.84836288467052,0.039030336076393723,0.859375,0.140625,64.0,2.0258421897888184,0.9975754022598267,64.0,1088.0,64.0,0.11633239302318543
-109.35858658328655,0.04600707930512726,0.859375,0.140625,64.0,1.9677505493164062,0.998149037361145,64.0,1152.0,64.0,0.11528270004782826
-75.63082957789305,0.0856621703132987,0.6875,0.3125,64.0,1.9442861080169678,0.9990590810775757,64.0,1216.0,64.0,0.11471372295636684
-74.05722168609503,0.10258792550303042,0.671875,0.328125,64.0,2.0356013774871826,0.9998607635498047,64.0,1280.0,64.0,0.11528771894518286
-95.53282536640764,0.06213625776581466,0.796875,0.203125,64.0,1.949455976486206,0.9981940984725952,64.0,1344.0,64.0,0.11407495301682502
-91.26076698713007,0.06550824246369302,0.78125,0.21875,64.0,2.0347673892974854,0.9982854723930359,64.0,1408.0,64.0,0.11462784605100751
-88.09433730542662,0.06856656889431179,0.71875,0.28125,64.0,2.0177125930786133,0.9969792366027832,64.0,1472.0,64.0,0.11455028899945319
-71.77368288412691,0.11001732712611556,0.671875,0.328125,64.0,1.8911011219024658,0.9979924559593201,64.0,1536.0,64.0,0.6341661619953811
