episode_reward,spectrum_utilization,collision_rate,success_rate,wall_clock_proxy_time,policy_entropy,background_fairness,steps,train_step,episode_length,wall_clock_training_seconds
-15.135686017200344,0.23598553170450032,0.453125,0.546875,64.0,2.0107736587524414,0.9997028112411499,64.0,64.0,64.0,0.11095806700177491
-38.92479089424015,0.17462480161339045,0.609375,0.390625,64.0,2.032686233520508,0.9929748773574829,64.0,128.0,64.0,0.11131956498138607
-24.76721656415609,0.20581763447262347,0.515625,0.484375,64.0,2.0522301197052,0.9978211522102356,64.0,192.0,64.0,0.10430461191572249
-23.97819035574793,0.2072300051804632,0.5,0.5,64.0,2.03346586227417,0.9988522529602051,64.0,256.0,64.0,0.10301276098471135
-54.399807301536214,0.12573453434742987,0.6875,0.3125,64.0,1.968332052230835,0.9957383871078491,64.0,320.0,64.0,0.10213797609321773
-23.085220124572505,0.2171996906399727,0.5,0.5,64.0,2.028895139694214,1.0,64.0,384.0,64.0,0.1044909410411492
-48.89621567167343,0.1329021966084838,0.640625,0.359375,64.0,2.038355827331543,0.9996156692504883,64.0,448.0,64.0,0.10583162400871515
-27.29419321250169,0.19653255050070584,0.53125,0.46875,64.0,1.9808869361877441,0.9985228776931763,64.0,512.0,64.0,0.5809913639677688
-62.5898894775659,0.11298621189780533,0.75,0.25,64.0,2.029752492904663,0.9914994835853577,64.0,576.0,64.0,0.10415424208622426
-26.36928467378018,0.20122057711705565,0.515625,0.484375,64.0,2.0478739738464355,0.9996695518493652,64.0,640.0,64.0,0.10571163496933877
-32.617471612431096,0.19171358877792954,0.5625,0.4375,64.0,2.0086584091186523,0.9999188184738159,64.0,704.0,64.0,0.1032280019717291
-46.15548981372272,0.14652529964223504,0.640625,0.359375,64.0,2.043569803237915,0.9990443587303162,64.0,768.0,64.0,0.10576612700242549
-38.240487187728284,0.15675843483768404,0.578125,0.421875,64.0,2.052229881286621,0.9985780119895935,64.0,832.0,64.0,0.10501890606246889
-41.039394479990015,0.1621024354826659,0.609375,0.390625,64.0,1.9725301265716553,0.9999092817306519,64.0,896.0,64.0,0.1050202320329845
-43.01085613728502,0.1602856640238315,0.609375,0.390625,64.0,1.9876224994659424,0.9992700815200806,64.0,960.0,64.0,0.10538404900580645
-48.70582784637811,0.13122456800192595,0.640625,0.359375,64.0,2.031403064727783,0.999657154083252,64.0,1024.0,64.0,0.582364107016474
-44.09640589766208,0.1580147345084697,0.640625,0.359375,64.0,1.958038330078125,1.0,64.0,1088.0,64.0,0.10536617401521653
-37.28159463703633,0.18114175228402019,0.59375,0.40625,64.0,1.897033452987671,0.9992145299911499,64.0,1152.0,64.0,0.10530331206973642
-44.762968452833604,0.13769403146579862,0.609375,0.390625,64.0,1.9143714904785156,1.0,64.0,1216.0,64.0,0.10544689302332699
-53.76107518747454,0.11764912260696292,0.671875,0.328125,64.0,1.9004278182983398,0.9992145299911499,64.0,1280.0,64.0,0.10979785199742764
-40.19553714804353,0.1616895494516939,0.59375,0.40625,64.0,2.0069186687469482,0.9999216794967651,64.0,1344.0,64.0,0.10937364201527089
-28.574398251622906,0.2039191392250359,0.546875,0.453125,64.0,1.9109735488891602,0.996806263923645,64.0,1408.0,64.0,0.1080636780243367
-20.70363481864331,0.20969626028090715,0.46875,0.53125,64.0,1.9843051433563232,1.0,64.0,1472.0,64.0,0.10626080306246877
-30.429088639467956,0.19372724299319088,0.546875,0.453125,64.0,1.9566597938537598,0.9985228776931763,64.0,1536.0,64.0,0.592243044055067
