policy_loss,value_loss,entropy,approx_kl
-0.007844347506761551,234.31613159179688,2.0747625827789307,0.0005048221598068873
-0.0026468615978956223,309.7478739420573,2.074349880218506,0.002356568972269694
-0.0005701923122008642,277.4334716796875,2.0726101398468018,0.0006865548590819041
-0.0026399663959940276,259.32692464192706,2.0706308682759604,0.0017252607891956966
-0.004527905335028966,333.2405293782552,2.070011854171753,0.002459907283385595
-0.00393799723436435,265.7663981119792,2.067492961883545,0.0007631375143925349
-0.0003744351367155711,338.355712890625,2.060382127761841,0.002138528972864151
-0.0029150632520516715,282.9657287597656,2.0549069245656333,0.0002735803524653117
-0.000529207910100619,289.3594462076823,2.038779099782308,0.0014532413333654404
0.0006636666754881541,200.15945943196616,2.019287665685018,0.0001934301108121872
-0.001433495432138443,325.8520812988281,2.000590523084005,0.0014335730423529942
-0.004764556884765625,260.54651896158856,1.9922014474868774,0.001603526994585991
-0.00372903048992157,300.50819905598956,1.9646573861440022,0.0008960142731666565
0.0004837922751903534,292.3636067708333,1.9299238522847493,0.00014304059247175852
-0.002231006200114886,298.19866943359375,1.8971123298009236,0.0029063367595275245
-0.0005797777945796648,293.70372517903644,1.871058464050293,0.001162828877568245
-0.0002381894737482071,297.4212341308594,1.8563129504521687,0.00016248288253943125
-0.003161070868372917,204.65999348958334,1.8589234749476116,0.00042870454490184784
-0.007171631169815858,255.72968546549478,1.8504459460576375,0.0015537987152735393
-0.0005345568060874939,294.53322347005206,1.8350939353307087,0.0006103310734033585
-0.0027806833386421204,284.84192911783856,1.8383280436197917,0.0015205467740694683
-0.0003143033633629481,210.70154825846353,1.8409650325775146,0.001587394004066785
-0.004281200468540192,287.36121622721356,1.8360942602157593,0.005144784847895305
0.0017737407858173053,214.79035441080728,1.8364151318868,0.0009742937982082367
