scenario,mode,seed,parameter_count,train_steps,communication_megabytes,wall_clock_training_time,mean_background_fairness,std_background_fairness,mean_collision_rate,std_collision_rate,mean_episode_length,std_episode_length,mean_episode_reward,std_episode_reward,mean_mean_forward_time,std_mean_forward_time,mean_policy_entropy,std_policy_entropy,mean_spectrum_utilization,std_spectrum_utilization,mean_steps,std_steps,mean_success_rate,std_success_rate,mean_wall_clock_episode_seconds,std_wall_clock_episode_seconds,mean_wall_clock_proxy_time,std_wall_clock_proxy_time
non_stationary,centralized,7,78281.0,256.0,0.0,2.0539165269583464,0.9991621375083923,0.0005601644515991211,0.7421875,0.0078125,64.0,0.0,-64.64797928258781,1.1605294864624724,0.0031361587625724496,0.00010962371743516997,0.6058507561683655,0.026992082595825195,0.09264426224399358,0.0031622963724657893,64.0,0.0,0.2578125,0.0078125,0.22717373655177653,0.009673928492702544,64.0,0.0
non_stationary,flat_federated,7,313124.0,256.0,4.77789306640625,6.176208309014328,,,0.734375,,,,-63.397942589409695,,,,,,0.0932102904189378,,,,,,0.21333160804351792,,,
non_stationary,hierarchical_federated,7,313124.0,256.0,7.166839599609375,6.673176300013438,,,0.6796875,,,,-56.08475802587349,,,,,,0.11064253735821694,,,,,,0.22705710801528767,,,
