scenario,mode,num_seeds,mean_parameter_count,std_parameter_count,mean_train_steps,std_train_steps,mean_communication_megabytes,std_communication_megabytes,mean_wall_clock_training_time,std_wall_clock_training_time,mean_mean_background_fairness,std_mean_background_fairness,mean_std_background_fairness,std_std_background_fairness,mean_mean_collision_rate,std_mean_collision_rate,mean_std_collision_rate,std_std_collision_rate,mean_mean_episode_length,std_mean_episode_length,mean_std_episode_length,std_std_episode_length,mean_mean_episode_reward,std_mean_episode_reward,mean_std_episode_reward,std_std_episode_reward,mean_mean_mean_forward_time,std_mean_mean_forward_time,mean_std_mean_forward_time,std_std_mean_forward_time,mean_mean_policy_entropy,std_mean_policy_entropy,mean_std_policy_entropy,std_std_policy_entropy,mean_mean_spectrum_utilization,std_mean_spectrum_utilization,mean_std_spectrum_utilization,std_std_spectrum_utilization,mean_mean_steps,std_mean_steps,mean_std_steps,std_std_steps,mean_mean_success_rate,std_mean_success_rate,mean_std_success_rate,std_std_success_rate,mean_mean_wall_clock_episode_seconds,std_mean_wall_clock_episode_seconds,mean_std_wall_clock_episode_seconds,std_std_wall_clock_episode_seconds,mean_mean_wall_clock_proxy_time,std_mean_wall_clock_proxy_time,mean_std_wall_clock_proxy_time,std_std_wall_clock_proxy_time
non_stationary,centralized,1,78281.0,0.0,256.0,0.0,0.0,0.0,2.0539165269583464,0.0,0.9991621375083923,0.0,0.0005601644515991211,0.0,0.7421875,0.0,0.0078125,0.0,64.0,0.0,0.0,0.0,-64.64797928258781,0.0,1.1605294864624724,0.0,0.0031361587625724496,0.0,0.00010962371743516997,0.0,0.6058507561683655,0.0,0.026992082595825195,0.0,0.09264426224399358,0.0,0.0031622963724657893,0.0,64.0,0.0,0.0,0.0,0.2578125,0.0,0.0078125,0.0,0.22717373655177653,0.0,0.009673928492702544,0.0,64.0,0.0,0.0,0.0
non_stationary,flat_federated,1,313124.0,0.0,256.0,0.0,4.77789306640625,0.0,6.176208309014328,0.0,,,,,0.734375,0.0,,,,,,,-63.397942589409695,0.0,,,,,,,,,,,0.0932102904189378,0.0,,,,,,,,,,,0.21333160804351792,0.0,,,,,,
non_stationary,hierarchical_federated,1,313124.0,0.0,256.0,0.0,7.166839599609375,0.0,6.673176300013438,0.0,,,,,0.6796875,0.0,,,,,,,-56.08475802587349,0.0,,,,,,,,,,,0.11064253735821694,0.0,,,,,,,,,,,0.22705710801528767,0.0,,,,,,
