scenario,model,seed,eval_episodes,policy_type,is_trainable,family,dt_aware,cell_kinds,hidden_dim,num_heads,parameter_count,param_error_frac,train_steps,declared_train_steps,num_updates,total_gradient_steps,max_first_epoch_ratio_deviation,final_policy_loss,final_value_loss,final_approx_kl,final_clip_fraction,final_explained_variance,first_update_explained_variance,first_update_policy_entropy_mean,final_policy_entropy_mean,first_update_mean_rollout_return,final_mean_rollout_return,mean_eval_return_untrained,mean_eval_return_trained,wall_train_seconds,wall_eval_seconds,eval_action_histogram_entropy,mean_action_histogram_entropy,mean_background_fairness,mean_collision_rate,mean_episode_return,mean_eval_return,mean_mean_dt,mean_num_background_users_mean,mean_policy_entropy_nats,mean_sim_time,mean_spectrum_utilization,mean_steps,mean_success_rate,num_eval_episodes,std_action_histogram_entropy,std_background_fairness,std_collision_rate,std_episode_return,std_mean_dt,std_num_background_users_mean,std_policy_entropy_nats,std_sim_time,std_spectrum_utilization,std_steps,std_success_rate,untrained_eval_action_histogram_entropy,untrained_mean_action_histogram_entropy,untrained_mean_background_fairness,untrained_mean_collision_rate,untrained_mean_episode_return,untrained_mean_eval_return,untrained_mean_mean_dt,untrained_mean_num_background_users_mean,untrained_mean_policy_entropy_nats,untrained_mean_sim_time,untrained_mean_spectrum_utilization,untrained_mean_steps,untrained_mean_success_rate,untrained_num_eval_episodes,untrained_std_action_histogram_entropy,untrained_std_background_fairness,untrained_std_collision_rate,untrained_std_episode_return,untrained_std_mean_dt,untrained_std_num_background_users_mean,untrained_std_policy_entropy_nats,untrained_std_sim_time,untrained_std_spectrum_utilization,untrained_std_steps,untrained_std_success_rate,wall_seconds
irregular_dt,constant_channel,499,32,heuristic,False,heuristic,False,,0,0,0,,0,0,0,0,,,,,,,,,,,,-45.82558763639325,-45.82558763639325,0.0,0.2793373459999202,0.0,0.0,0.9411406137895536,0.6220703125,-45.82558763639325,-45.82558763639325,1.015703388246949,4.0,0.0,65.00501684780475,0.1635540967339615,64.0,0.3779296875,32.0,0.0,0.05275330090982,0.1638036229516607,29.644035459607977,0.0880669258673354,0.0,0.0,5.63628325550947,0.0778710650499772,0.0,0.1638036229516607,,,,,,,,,,,,,,,,,,,,,,,,,,0.2793848829996932
irregular_dt,constant_channel,601,32,heuristic,False,heuristic,False,,0,0,0,,0,0,0,0,,,,,,,,,,,,-56.2701123791885,-56.2701123791885,0.0,0.2956147479999345,0.0,0.0,0.9364620535364538,0.66796875,-56.2701123791885,-56.2701123791885,1.002301257091492,4.0,0.0,64.14728045385547,0.1337176312206153,64.0,0.33203125,32.0,0.0,0.0430670200522917,0.1372756514906686,25.66022110437695,0.0981741336207526,0.0,0.0,6.283144551728176,0.0611530176345894,0.0,0.1372756514906686,,,,,,,,,,,,,,,,,,,,,,,,,,0.2956960419996903
irregular_dt,greedy_heuristic,7,32,heuristic,False,heuristic,False,,0,0,0,,0,0,0,0,,,,,,,,,,,,22.453629655605877,22.453629655605877,0.0,0.2903580800002601,1.746141727953783,1.746141727953783,0.9534506471640632,0.26171875,22.453629655605877,22.453629655605877,1.011710026319081,4.0,0.0,64.74944168442119,0.3820191895622603,64.0,0.73828125,32.0,0.0920557756144391,0.0380158700893213,0.07614683081882,13.729748400844686,0.0979629343417021,0.0,0.0,6.269627797868933,0.0467857029227919,0.0,0.07614683081882,,,,,,,,,,,,,,,,,,,,,,,,,,0.2904246710004372
irregular_dt,greedy_heuristic,19,32,heuristic,False,heuristic,False,,0,0,0,,0,0,0,0,,,,,,,,,,,,19.93387501701502,19.93387501701502,0.0,0.3046825399997033,1.7845564157948206,1.7845564157948206,0.9554502776647312,0.275390625,19.93387501701502,19.93387501701502,1.0285036952430835,4.0,0.0,65.82423649555734,0.3746803377776722,64.0,0.724609375,32.0,0.1380433283090156,0.0457906476283934,0.0604838381531329,11.785609766812142,0.085503588259771,0.0,0.0,5.472229648625348,0.042556182742419,0.0,0.0604838381531329,,,,,,,,,,,,,,,,,,,,,,,,,,0.3047555240000292
irregular_dt,greedy_heuristic,23,32,heuristic,False,heuristic,False,,0,0,0,,0,0,0,0,,,,,,,,,,,,21.587778489466007,21.587778489466007,0.0,0.2949615480001739,1.7746074346488474,1.7746074346488474,0.9622712269347052,0.265625,21.587778489466007,21.587778489466007,1.0233309311010843,4.0,0.0,65.4931795904694,0.3772797112806672,64.0,0.734375,32.0,0.1314159077130418,0.0216281375257872,0.078125,14.308243660561862,0.0826808276405754,0.0,0.0,5.291572968996827,0.0469855956326811,0.0,0.078125,,,,,,,,,,,,,,,,,,,,,,,,,,0.2950259839999489
irregular_dt,greedy_heuristic,41,32,heuristic,False,heuristic,False,,0,0,0,,0,0,0,0,,,,,,,,,,,,22.61419879705605,22.61419879705605,0.0,0.3154867609991925,1.8093091937979515,1.8093091937979515,0.9616859539275252,0.267578125,22.61419879705605,22.61419879705605,1.0182117276271203,4.0,0.0,65.1655505681357,0.388175884898831,64.0,0.732421875,32.0,0.1331311701790511,0.0273864701886338,0.0681917587894378,12.196684943540578,0.0896436014341393,0.0,0.0,5.737190491784914,0.0382348854677875,0.0,0.0681917587894378,,,,,,,,,,,,,,,,,,,,,,,,,,0.3155609619998358
irregular_dt,greedy_heuristic,89,32,heuristic,False,heuristic,False,,0,0,0,,0,0,0,0,,,,,,,,,,,,20.47827378443779,20.47827378443779,0.0,0.2891248569994786,1.7666127125199331,1.7666127125199331,0.9531863093991942,0.2783203125,20.47827378443779,20.47827378443779,1.04518777612895,4.0,0.0,66.8920176722528,0.3798734827670006,64.0,0.7216796875,32.0,0.1737838570665539,0.0421917273384446,0.0747756144547796,13.742302251887113,0.1017645619778547,0.0,0.0,6.512931966582705,0.0460081798246504,0.0,0.0747756144547796,,,,,,,,,,,,,,,,,,,,,,,,,,0.2891760969996539
irregular_dt,greedy_heuristic,101,32,heuristic,False,heuristic,False,,0,0,0,,0,0,0,0,,,,,,,,,,,,15.133022275340728,15.133022275340728,0.0,0.3134818339995036,1.8074538568087295,1.8074538568087295,0.9633123090401484,0.31103515625,15.133022275340728,15.133022275340728,1.045312391178958,4.0,0.0,66.89999303545332,0.3663659624883247,64.0,0.68896484375,32.0,0.1071784448456074,0.0360845153322075,0.0621768225316462,10.44979797645946,0.0991190129856749,0.0,0.0,6.343616831083193,0.0335101160866031,0.0,0.0621768225316462,,,,,,,,,,,,,,,,,,,,,,,,,,0.3135393100001238
irregular_dt,greedy_heuristic,137,32,heuristic,False,heuristic,False,,0,0,0,,0,0,0,0,,,,,,,,,,,,18.97462922057337,18.97462922057337,0.0,0.2932120650002616,1.79432544930771,1.79432544930771,0.9567415953129113,0.2802734375,18.97462922057337,18.97462922057337,1.033026172943429,4.0,0.0,66.11367506837944,0.3701343560361846,64.0,0.7197265625,32.0,0.1231256619215246,0.0391220980784079,0.0946359102316403,17.975134404749905,0.1232491253892921,0.0,0.0,7.887944024914703,0.059351621027765,0.0,0.0946359102316403,,,,,,,,,,,,,,,,,,,,,,,,,,0.2932649869999295
irregular_dt,greedy_heuristic,211,32,heuristic,False,heuristic,False,,0,0,0,,0,0,0,0,,,,,,,,,,,,23.381929886282776,23.381929886282776,0.0,0.2855469429996446,1.8066320766745,1.8066320766745,0.9637307810917064,0.2685546875,23.381929886282776,23.381929886282776,1.0724977533204612,4.0,0.0,68.6398562125095,0.3947427413302611,64.0,0.7314453125,32.0,0.1363555556721227,0.0292782854673634,0.0681567868609931,12.963669098789335,0.0955012185802572,0.0,0.0,6.1120779891364645,0.0444817230179182,0.0,0.0681567868609931,,,,,,,,,,,,,,,,,,,,,,,,,,0.2856012409993127
