scenario,model,seed,parameter_count,train_steps,wall_clock_training_time,mean_background_fairness,std_background_fairness,mean_collision_rate,std_collision_rate,mean_episode_length,std_episode_length,mean_episode_reward,std_episode_reward,mean_mean_forward_time,std_mean_forward_time,mean_policy_entropy,std_policy_entropy,mean_spectrum_utilization,std_spectrum_utilization,mean_steps,std_steps,mean_success_rate,std_success_rate,mean_wall_clock_episode_seconds,std_wall_clock_episode_seconds,mean_wall_clock_proxy_time,std_wall_clock_proxy_time
stationary,ppo_mlp,7,56585,256,4.651050604996271,0.9978219866752625,0.0,0.671875,0.0,64.0,0.0,-51.0964590419084,0.0,0.0006608265275644953,2.7149426387040876e-06,0.6690268516540527,0.0,0.14042012323625386,0.0,64.0,0.0,0.328125,0.0,0.06221088150050491,0.00020545348525047302,64.0,0.0
stationary,ppo_lstm,7,44745,256,1.08686653804034,0.9997575879096985,0.0,0.65625,0.0,64.0,0.0,-54.08180079981686,0.0,0.0009575016492817667,7.921603355498519e-06,0.4060963988304138,0.0,0.12602730910293758,0.0,64.0,0.0,0.34375,0.0,0.08128823898732662,0.0006203419761732221,64.0,0.0
stationary,ppo_gru,7,36425,256,1.0088001060066745,0.9986019730567932,0.0,0.71875,0.0,64.0,0.0,-62.09037043098363,0.0,0.0010304627257937682,1.8055609871225897e-05,0.0,0.0,0.10098740248940885,0.0,64.0,0.0,0.28125,0.0,0.08498728048289195,0.0011646465281955898,64.0,0.0
stationary,ppo_ltc,7,44809,256,1.90298371296376,0.9945797324180603,0.0,0.71875,0.0,64.0,0.0,-59.579068988934175,0.0,0.0021950909786028205,7.928055310912896e-06,0.08048482984304428,0.0,0.11705981637351215,0.0,64.0,0.0,0.28125,0.0,0.1592768674599938,0.0006651335279457271,64.0,0.0
stationary,ppo_lfm,7,78409,256,1.6756589049473405,0.998897910118103,0.0,0.765625,0.0,64.0,0.0,-68.69467208497224,0.0,0.0021288482148520416,0.00010193425987381488,0.13906079530715942,0.0,0.09210322634316981,0.0,64.0,0.0,0.234375,0.0,0.15991335350554436,0.008183011435903609,64.0,0.0
stationary,ppo_ltc_lfm,7,78281,256,3.0337737529771402,0.9958341717720032,0.0,0.75,0.0,64.0,0.0,-65.09338786713782,0.0,0.00364090092080005,3.972334525315091e-05,0.27416592836380005,0.0,0.095991789130494,0.0,64.0,0.0,0.25,0.0,0.26377255201805383,0.002328278962522745,64.0,0.0
variable_dt,ppo_mlp,7,56585,256,0.824841151945293,0.9999426007270813,0.0,0.6875,0.0,64.0,0.0,-58.656205107644226,0.0,0.0007131390329959686,2.3088189664122183e-05,0.0,0.0,0.12279494176618755,0.0,64.0,0.0,0.3125,0.0,0.06734373653307557,0.0014775905292481184,105.23716074330466,0.0
variable_dt,ppo_lstm,7,44745,256,1.2530015970114619,0.9999426007270813,0.0,0.6875,0.0,64.0,0.0,-58.656205107644226,0.0,0.0012539666040538577,2.3958351448527537e-05,0.0,0.0,0.12279494176618755,0.0,64.0,0.0,0.3125,0.0,0.10583963349927217,0.0018559294985607266,105.23716074330466,0.0
variable_dt,ppo_gru,7,36425,256,1.2760858159745112,0.9990502595901489,0.0,0.828125,0.0,64.0,0.0,-79.81144351735715,0.0,0.0012000825654467917,2.1400653167802375e-05,0.0,0.0,0.06484941858798265,0.0,64.0,0.0,0.171875,0.0,0.10011396650224924,0.00168647151440382,105.23716074330466,0.0
variable_dt,ppo_ltc,7,44809,256,2.10805509891361,0.9955339431762695,0.0,0.765625,0.0,64.0,0.0,-67.99528972916303,0.0,0.0027619961902018986,0.00018355334123043576,0.21904556453227997,0.0,0.10796875809319317,0.0,64.0,0.0,0.234375,0.0,0.2053417565766722,0.01413984247483313,105.23716074330466,0.0
variable_dt,ppo_lfm,7,78409,256,1.8036804909352213,0.9993626475334167,0.0,0.828125,0.0,64.0,0.0,-79.13969849161805,0.0,0.0019324502036397462,5.768531082139816e-06,0.0,0.0,0.06680323788896203,0.0,64.0,0.0,0.171875,0.0,0.14649511297466233,0.00047603301936760545,105.23716074330466,0.0
variable_dt,ppo_ltc_lfm,7,78281,256,2.621034638956189,0.9962465167045593,0.0003815889358520508,0.796875,0.0,64.0,0.0,-73.38886036109179,0.003126234747469425,0.0028664327055594185,6.788388782297261e-05,0.3281678855419159,0.017038732767105103,0.09113480732776225,0.0,64.0,0.0,0.203125,0.0,0.20698978996369988,0.0052330270409584045,105.23716074330466,0.0
