scenario,mode,seed,parameter_count,train_steps,communication_megabytes,wall_clock_training_time,mean_background_fairness,std_background_fairness,mean_collision_rate,std_collision_rate,mean_episode_length,std_episode_length,mean_episode_reward,std_episode_reward,mean_mean_forward_time,std_mean_forward_time,mean_policy_entropy,std_policy_entropy,mean_spectrum_utilization,std_spectrum_utilization,mean_steps,std_steps,mean_success_rate,std_success_rate,mean_wall_clock_episode_seconds,std_wall_clock_episode_seconds,mean_wall_clock_proxy_time,std_wall_clock_proxy_time,parameter_megabytes
non_stationary,centralized,7,78281.0,3072.0,0.0,23.61847022199072,0.9982599914073944,0.0011497161338554819,0.78125,0.06750771560841522,64.0,0.0,-72.89830351780016,11.85683670393481,0.003241929990811817,0.00010501538401935718,0.0,0.0,0.0763055250281468,0.026646237875968606,64.0,0.0,0.21875,0.06750771560841522,0.23534374468727037,0.007780861976171477,64.0,0.0,
non_stationary,flat_federated,7,78281.0,3072.0,21.500518798828125,107.30846179800574,,,0.7578125,,,,-65.80354380467908,,,,,,0.1011598647843736,,,,,,0.22324844069468477,,,,0.2986183166503906
non_stationary,hierarchical_federated,7,78281.0,3072.0,28.6673583984375,102.01050238602329,,,0.7421875,,,,-65.11211471105928,,,,,,0.10087967058643699,,,,,,0.2300689128266337,,,,0.2986183166503906
non_stationary,centralized,19,78281.0,3072.0,0.0,22.260826170095243,0.9982428550720215,0.001313940108252266,0.7708333333333334,0.04995657836784083,64.0,0.0,-70.15145093402828,8.877469351352172,0.0030504023922427828,7.614474527073321e-05,0.0,0.0,0.08210199753132959,0.02717807244106504,64.0,0.0,0.22916666666666666,0.04995657836784083,0.2192718604540763,0.005641431170612169,64.0,0.0,
non_stationary,flat_federated,19,78281.0,3072.0,21.500518798828125,100.32064626808278,,,0.7760416666666666,,,,-70.82773036987831,,,,,,0.08816620296177764,,,,,,0.2602373778548402,,,,0.2986183166503906
non_stationary,hierarchical_federated,19,78281.0,3072.0,28.6673583984375,96.60469601198565,,,0.8203125,,,,-78.35342478097881,,,,,,0.0631634109498312,,,,,,0.23255606796980524,,,,0.2986183166503906
non_stationary,centralized,23,78281.0,3072.0,0.0,24.155774213024415,0.9980587760607401,0.0009198324239600356,0.7838541666666666,0.03764800076771083,64.0,0.0,-72.96944698067384,6.2767133948985965,0.003947054008373622,0.00021968002548140405,0.0,0.0,0.07878961701256533,0.01803844989502547,64.0,0.0,0.21614583333333334,0.03764800076771083,0.28702560331051546,0.015981630165649255,64.0,0.0,
non_stationary,flat_federated,23,78281.0,3072.0,21.500518798828125,99.6787743930472,,,0.7760416666666666,,,,-71.02446492648065,,,,,,0.08564222235387813,,,,,,0.23781556636095047,,,,0.2986183166503906
non_stationary,hierarchical_federated,23,78281.0,3072.0,28.6673583984375,96.7543283830164,,,0.8072916666666666,,,,-76.23432400753568,,,,,,0.07087384338956326,,,,,,0.2263228363202264,,,,0.2986183166503906
non_stationary,centralized,41,78281.0,3072.0,0.0,21.433537675067782,0.9980865915616354,0.0017372681303223464,0.7552083333333334,0.08684027083610972,64.0,0.0,-66.75836553769189,14.668508257444362,0.002845171734406904,3.9421202973436514e-05,0.0,0.0,0.09348321834113449,0.03586351957928945,64.0,0.0,0.24479166666666666,0.08684027083610972,0.20456628348135078,0.0031109619989659596,64.0,0.0,
non_stationary,flat_federated,41,78281.0,3072.0,21.500518798828125,94.68223801197018,,,0.7630208333333334,,,,-68.50180611581698,,,,,,0.09246108025157203,,,,,,0.21783164366691685,,,,0.2986183166503906
non_stationary,hierarchical_federated,41,78281.0,3072.0,28.6673583984375,91.44893313501962,,,0.7161458333333334,,,,-61.06919911218188,,,,,,0.10422994002389412,,,,,,0.2580557528611583,,,,0.2986183166503906
non_stationary,centralized,89,78281.0,3072.0,0.0,22.028659175965004,0.9974092940489451,0.0011253577909628774,0.828125,0.042312700024145625,64.0,0.0,-79.65081550590696,6.758694339016852,0.003024706064328105,5.828673859885491e-05,0.0,0.0,0.06312829822612305,0.014572295792434698,64.0,0.0,0.171875,0.042312700024145625,0.21767241517469907,0.004231362669830197,64.0,0.0,
non_stationary,flat_federated,89,78281.0,3072.0,21.500518798828125,90.67780950397719,,,0.7890625,,,,-72.27451369439564,,,,,,0.07885661476757377,,,,,,0.21310739948724708,,,,0.2986183166503906
non_stationary,hierarchical_federated,89,78281.0,3072.0,28.6673583984375,94.1768617250491,,,0.75,,,,-66.51151284765706,,,,,,0.09588982599476974,,,,,,0.20576920399131873,,,,0.2986183166503906
