scenario,mode,num_seeds,mean_parameter_count,std_parameter_count,mean_train_steps,std_train_steps,mean_communication_megabytes,std_communication_megabytes,mean_wall_clock_training_time,std_wall_clock_training_time,mean_mean_background_fairness,std_mean_background_fairness,mean_std_background_fairness,std_std_background_fairness,mean_mean_collision_rate,std_mean_collision_rate,mean_std_collision_rate,std_std_collision_rate,mean_mean_episode_length,std_mean_episode_length,mean_std_episode_length,std_std_episode_length,mean_mean_episode_reward,std_mean_episode_reward,mean_std_episode_reward,std_std_episode_reward,mean_mean_mean_forward_time,std_mean_mean_forward_time,mean_std_mean_forward_time,std_std_mean_forward_time,mean_mean_policy_entropy,std_mean_policy_entropy,mean_std_policy_entropy,std_std_policy_entropy,mean_mean_spectrum_utilization,std_mean_spectrum_utilization,mean_std_spectrum_utilization,std_std_spectrum_utilization,mean_mean_steps,std_mean_steps,mean_std_steps,std_std_steps,mean_mean_success_rate,std_mean_success_rate,mean_std_success_rate,std_std_success_rate,mean_mean_wall_clock_episode_seconds,std_mean_wall_clock_episode_seconds,mean_std_wall_clock_episode_seconds,std_std_wall_clock_episode_seconds,mean_mean_wall_clock_proxy_time,std_mean_wall_clock_proxy_time,mean_std_wall_clock_proxy_time,std_std_wall_clock_proxy_time,mean_parameter_megabytes,std_parameter_megabytes
non_stationary,centralized,5,78281.0,0.0,3072.0,0.0,0.0,0.0,22.69945349122863,1.0208196304924069,0.9980115016301474,0.00031170464382795004,0.0012492229174706014,0.00027426947016957986,0.7838541666666667,0.024317953187351554,0.056853053120844446,0.01811393014841818,64.0,0.0,0.0,0.0,-72.48567649522023,4.242504254790328,9.68764440932936,3.17439702647896,0.003221852838032646,0.0003837891580282068,9.970961926875717e-05,6.376033402570881e-05,0.0,0.0,0.0,0.0,0.07876173122785984,0.009780772114068473,0.024459715116756656,0.007499477481553573,64.0,0.0,0.0,0.0,0.21614583333333331,0.024317953187351565,0.056853053120844446,0.01811393014841818,0.2327759814215824,0.028830126387648602,0.00734924959624581,0.004589231481623533,64.0,0.0,0.0,0.0,,
non_stationary,flat_federated,5,78281.0,0.0,3072.0,0.0,21.500518798828125,0.0,98.53358599501662,5.622269858484609,,,,,0.7723958333333333,0.010999329209345236,,,,,,,-69.68641178225013,2.292213784056549,,,,,,,,,,,0.08925719702383503,0.007407682346481517,,,,,,,,,,,0.2304480856129279,0.017049284996631206,,,,,,,0.2986183166503906,0.0
non_stationary,hierarchical_federated,5,78281.0,0.0,3072.0,0.0,28.6673583984375,0.0,96.19906432821881,3.4899489180787295,,,,,0.7671875,0.03989052945597208,,,,,,,-69.45611509188254,6.678137721607347,,,,,,,,,,,0.08700733818889907,0.016713950642251844,,,,,,,,,,,0.2305545547938285,0.01668999013717929,,,,,,,0.2986183166503906,0.0
